a	cmavo			   	A      	логический союз: последующая мысль в sumti: 'или'
ci	cmavo   	-cib-		   	PA1      	цифра/число: 3 (цифра) [три]
ci'e	cmavo			   	BAI      	модальный предлог от ciste, 1-ое место, используемое в скалярном отрицании    в системе/контексте, ...
ci'i	cmavo			   	PA5      	цифра/число: бесконечно большая величина, бесконечность; за ней следуют цифры => алеф-мощность (количественность)
ci'iroi	cmavo-compound			   	ROI*      	модификатор интервала: случается бесконечное число раз, вечно; объективный интервал; по умолчанию как время
ciki'o	cmavo-compound			   	PA*      	число/количество: 3,000, выражается с помощью запятой
cimei	cmavo-compound			   	MOI*      	selbri-количественная частица: превращает 3 в количественное selbri; x_1 это множество-трио с членами x_2
cimoi	cmavo-compound			   	MOI*      	количественная selbri: преобразует 3 в порядковую selbri; x_1 - третий среди x_2, упорядоченный по правилу x_3
cino	cmavo-compound			   	PA*      	число/количество: 30 [тридцать]
cinono	cmavo-compound			   	PA*      	число/количество: 300 [триста]
ci'o	cmavo			   	BAI      	модальный предлог от cinmo, 1-ое место                            эмоционально чувствуемый (кем), ...
ci'oi	experimental cmavo			   	COI2      	преобразует следующую cmevla или zoi-цитату в психомим (фразу, которая отображает психологическое состояние или телесные чувства). 	Термин, более узкий по сравнению c {tai'i}. См. также {ci'o}, {cinmo}, {sa'ei}, {ki'ai}. Примеры в некоторых языках. jpn: そわそわ (sowasowa): неугомонно/беспокойно. nep: सुखदुख (sukhadukha): букв. счастье-горе; состояние человека. eng: zing (жар, пыл)
ciroi	cmavo-compound			   	ROI*      	модификатор интервала: трижды; объективно количественный интервал; по умолчанию как временной интервал
ci'u	cmavo			   	BAI      	модальный предлог от ckilu, 1-ое место                            по шкале, ...
co	cmavo   	-col-		   	CO      	оператор tanru-инверсии; "... типа (какого) ..."; разрешает хвостовые sumti модификатора без sumti-ссылок
co'a	cmavo   	-co'a-		   	ZAhO      	контур интервала события: в начальной точке (чего) ...; начинательное                   >|<    |
co'e	cmavo   	-com-   	-co'e-	   	GOhA      	опускаемое/неуказанное bridi-отношение
coi	cmavo			   	COI      	звательная частица: приветствие/здравствуйте
co'i	cmavo			   	ZAhO      	контур интервала события: совершенныый вид; в мгновенной точке (чего) ...; достигаемое; точка события   >|<	Соответствует русскому "взял", противопоставленному "брал"
coico'o	cmavo-compound			   	COI*      	звательная частица: проходящие приветствия, приветствия, проходя мимо
co'o	cmavo			   	COI      	звательная частица: прощание/до свидания
co'oi	experimental cmavo			   	COI      	чао!; комбинация {coi} и {co'o}, обозначающая либо приветствие, либо прощание в зависимости от контекста.	Скалярно отрицаемые формы этого слова очевидно идентичны его положительной форме. См. также {coi}, {co'o}, {rinsa}, {tolrinsa}.
co'u	cmavo   	-co'u-		   	ZAhO      	контур интервала события: в конечной точке (чего) ... даже если завершено; прекращаемое      |  >< |
cu	cmavo			   	CU      	опускаемый маркер: отделяет selbri от предшествующей ему sumti, разрешает опускание предшествующего завершителя; требуется только тогда, когда отсутствие этого завершителя может привести к слиянию двух слов в tanru: {lo cukta cu xunre} означает 'Книга — красная (является красной)'. Без {cu} {lo cukta xunre} уже не является сказуемой фразой: это просто sumti, означающий 'что-то по-книжному красное'.
cu'a	cmavo			   	VUhU3      	унарный математический оператор: абсолютное значение (модуль)/норма  |a|
cu'e	cmavo			   	CUhE      	вопрос относительно интервала/модального слова
cu'ei	experimental cmavo			   	UI      	междометие-рассуждение: обозначет смену говорящего; используется обычно при цитировании.	Значение {sa'a} по умолчанию имеется в этом слове. Использование {sa'anai} отменяет эту особенность. Используется при цитировании диалогов.
cu'i	cmavo			   	CAI      	междометие: скалярный модицикатор, нейтрализующий отношения/эмоции
cu'o	cmavo			   	MOI      	превращает число в selbri вероятности; событие x_1 имеет вероятность (n) произойти в условиях x_2
cu'u	cmavo			   	BAI      	модальный предлог от cusku, 1-ое место (приписывание/цитирование)    как сказано источником ...; используется для, цитирования
cu'u ko'a	cmavo-compound			   	BAI*      	sumti с меткой: может быть использовано с внедрённым: он-1 сказал, "...", с редакторским концом цитаты и вставкой
cy	cmavo			   	BY2      	буквенный символ для c
da	cmavo   	-dav-   	-dza-	   	KOhA1      	логическая количественная существующая pro-sumti: существует что-то 1 (как правило, ограничено)
da'a	cmavo   	-daz-		   	PA4      	цифра/число: все, кроме n (то есть дальше следует число); все, но не n; если число не указано, то обозначает "все, кроме одного"
da'ai	experimental cmavo			   	KOhA3      	не я; ты/вы/он/она/оно/они	Может включать и {do}. {ma'a} может быть определено как '{mi} {jo'u} {do} jo'u {da'ai}'.
da'amoi	cmavo-compound			   	MOI*      	количественная selbri: конвертирует все-кроме-(1) в порядковую selbri; x_1 - предпоследний среди x_2 согласно правилу x_3
da'aremoi	cmavo-compound			   	MOI*      	количественная selbri: конвертирует все-кроме-(2) в порядковую selbri; x_1 - третий с конца (предпредпоследний) среди x_2 согласно правилу x_3
da'e	cmavo			   	KOhA2      	pro-sumti: отдалённое будущее высказывание; "Он скажет тебе завтра. "ЭТО будет нечто выдающееся."
dai	cmavo			   	UI5      	модификатор междометия: отмечает эмпатическое использование предшествующего междометия; показывает чувства других	См. также {cnijmi}.
da'i	cmavo			   	UI3      	междометие-рассуждение: предполагая - фактически	См. также {sruma}.
dai'i	experimental cmavo			   	CAI      	модификатор междометия: предполагаемая эмоция - фактическая эмоция	Используется для эмоций, которые не являются фактом, например, рассуждая о гипотетических событиях. la'a ui dai'i mi ba te dunda lo karce lo mi patfu - Мне, наверное, подарит автомобиль мой дед, и я буду счастлив из-за этого, если это случится.
da'inai	cmavo-compound			   	UI*3      	междометие-рассуждение: предполагая - фактически	См. также {sruma}.
da'o	cmavo			   	DAhO      	междометие-рассуждение: отменяет назначения pro-sumti/pro-bridi
dau	cmavo			   	PA2      	цифра/число: шестнадцатиричная цифра A (соответствует десятичной 10) [десять]
da'u	cmavo			   	KOhA2      	pro-sumti: отдалённое прошлое высказывание; "Она не могла знать, что ЭТО было правдой."
dau'i	experimental cmavo			   	CAI2      	междометие: модификатор междометия, дающий интенсивность, равную предыдущей	Задаёт интенсивность, равную любой ранее указанной интенсивности для того же UI/cmavo. См. {mau'i}, {me'ai}, {cu'i}
de	cmavo			   	KOhA1      	логическая количественная существующая pro-sumti: существует что-то 2 (как правило, ограничено)
de'a	cmavo			   	ZAhO      	контур события для временной остановки и последующей паузы в процессе
de'e	cmavo			   	KOhA2      	pro-sumti: высказывание в ближайшем будущем
dei	cmavo			   	KOhA2      	pro-sumti: это высказывание
de'i	cmavo			   	BAI      	модальный предлог от detri, 1-ое место (для букв)              датируемое ... ; к нему присоединяется штамп, даты
dei'o	experimental cmavo			   	KOhA      	pro-sumti: это слово	Мнемоника: dei + zo -> dei'o
denpa bu	bu-letteral			   	BY*      	буквенный символ: ложбанский знак "."
de'o	cmavo			   	VUhU3      	бинарный математический оператор: логарифм; [log/ln a по основанию b]; по умолчанию основание 10 или e
de'u	cmavo			   	KOhA2      	pro-sumti: недавнее высказывание
di	cmavo			   	KOhA1      	логическая количественная существующая pro-sumti: существует что-то 3 (как правило, ограничено)
di'a	cmavo			   	ZAhO      	контур события для возобновления приостановленного процесса
di'ai	experimental cmavo			   	COI      	звательная частица: доброе пожелание - проклятие	Используется для выражения пожеланий/проклятий. См. также {dimna}, {dapma}, {ki'e}, {doi}
di'e	cmavo			   	KOhA2      	pro-sumti: следующее высказывание
di'i	cmavo			   	TAhE      	модификатор интервала: регулярно; субъективный интервал/модальное слово; по умолчанию как временной интервал
di'inai	cmavo-compound			   	TAhE*      	модификатор интервала: нерегулярно/апериодически; интервал/модальное слово; по умолчанию как временной интервал
di'o	cmavo			   	BAI      	модальный предлог от diklo, 1-ое место                            в местоположении (чего/какого объекта) ...
di'u	cmavo			   	KOhA2      	pro-sumti: предыдущее высказывание
do	cmavo   	-don-   	-doi-	   	KOhA3      	pro-sumti: ты слушатель (слушатели); идентифицируется звательной частицей
do'a	cmavo			   	UI3      	междометие-рассуждение: щедро - скупо	См. также {dunda}.
do'anai	cmavo-compound			   	UI*3      	междометие-рассуждение: щедро - скупо	См. также {dunda}.
do'e	cmavo			   	BAI      	опускаемая/неуказанная модальная частица
doi	cmavo			   	DOI      	общий маркер звательной частицы; идентифицирует выбранного слушателя; его можно опускать после COI
do'i	cmavo			   	KOhA2      	pro-sumti: опускаемая/неуказанная переменная высказывания
doido'u	cmavo-compound			   	DOI*      	общая звательная частица, адресуемая к намеченному слушателю
do'o	cmavo			   	KOhA3      	pro-sumti: ты, слушатель & другие не определены
do'u	cmavo			   	DOhU      	опускаемый терминатор: окончание звательной частицы (обычно опускаемое)
du	cmavo   	-dub-   	-du'o-	   	GOhA      	selbri идентичности; знак =; x_1 идентично равен (чему) x_2, x_3, и т.д.; присоединяемая sumti относится к той же самой вещи; особый вид selbri, обозначающий равенство sumti. Может иметь и большее количество аргументов (x_3, x_4 и т. д.), все они будут считаться равными друг другу
du'a	cmavo			   	FAhA1      	отношение/направление интервала местоположения; к востоку от
du'au	experimental cmavo			   	LAhE      	преобразование текста в bridi	Грубо говоря, просто эквивалент la'e, но более точный относительно типа результата. Обратное к {lu'au} слово.
du'e	cmavo			   	PA4      	цифра/число: слишком много, чересчур много; субъективное
du'emei	cmavo-compound			   	MOI*      	selbri-количественная частица: превращает "слишком много" в количественное selbri; x_1 это множество со слишком многими членами x_2
du'eroi	cmavo-compound			   	ROI*      	модификатор интервала: слишком много раз, объективный временной интервал, по умолчанию как временной интервал
du'i	cmavo			   	BAI      	модальный предлог от dunli, 1-ое место (равновеликий (чему))              равно...; настолько же, как и, ...
du'o	cmavo			   	BAI      	модальный предлог от djuno, 1-ое место (источник информации)            согласно (кому) ...; известное (кому), ...
du'u	cmavo   	-dum-		   	NU      	абстрактор: абстрактор предикации/утверждения/bridi; x_1 - это факт [bridi], выражаемый в предложении x_2; образует факт (selbri из bridi). Так, {lo solri cu pamei} означает "Солнце — одно", то {du'u lo solri cu pamei [kei]} означает "Факт, заключающийся в том, что Солнце — одно". Таким образом, {lo du'u lo solri cu pamei kei cu se djuno mi} означает "Факт, что Солнце — одно, известен мне"
dy	cmavo			   	BY2      	буквенный символ для d
e	cmavo			   	A      	логический союз: последующая мысль в sumti: "и"
e'a	cmavo			   	UI1      	междометие: давая разрешение - запрещая	См. также {curmi}.
e'anai	cmavo-compound			   	UI*1      	междометие: давая разрешение - запрещая	См. также {curmi}.
ebu	bu-letteral			   	BY*      	буквенный символ для e
e'e	cmavo			   	UI1      	междометие: компетентность/способность - некомпетентность/неспобосность	См. также {kakne}, {certu}.
e'enai	cmavo-compound			   	UI*1      	междометие: компетентность/способность - некомпетентность/неспобосность
ei	cmavo			   	UI1      	междометие: долг/обязательность - свобода	См. также {bilga}, {zifre}.
e'i	cmavo			   	UI1      	междометие: чувство ограничения - независимость - вызов/сопротивление ограничению	См. также {selri'u}, {seljimte}.
e'icu'i	cmavo-compound			   	UI*1      	междометие: чувство ограничения - независимость - вызов/сопротивление ограничению	См. также {selri'u}, {seljimte}.
einai	cmavo-compound			   	UI*1      	междометие: долг/обязательность - свобода	См. также {bilga}, {zifre}.
e'inai	cmavo-compound			   	UI*1      	междометие: чувство ограничения - независимость - вызов/сопротивление ограничению	См. также {selri'u}, {seljimte}.
enai	cmavo-compound			   	A*      	логический союз: последующая мысль в sumti: "x, но не y"
e'o	cmavo			   	UI1      	междометие: просьба - отрицательная просьба	См. также {cpedu}, {pikci}.
e'onai	cmavo-compound			   	UI*1      	междометие: просьба - отрицательная просьба	См. также {cpedu}, {pikci}.
e'u	cmavo			   	UI1      	междометие: предложение - отрицание предложения - предупреждение/предостережение	См. также {stidi}, {kajde}.
e'ucu'i	cmavo-compound			   	UI*1      	междометие: предложение - отрицание предложения - предупреждение/предостережение	См. также {stidi}, {kajde}.
e'unai	cmavo-compound			   	UI*1      	междометие: предложение - отрицание предложения - предупреждение/предостережение	См. также {stidi}, {kajde}.
fa	cmavo			   	FA      	метка места sumti: отмечает 1-ое sumti-место
fa'a	cmavo			   	FAhA4      	отношение/направление интервала местоположения; прибывая к/прямо по направлению ...
fa'e	cmavo			   	BAI      	модальный предлог от fatne, 1-ое место                            в обратном направлении; обратно от, ...
fai	cmavo			   	FA      	метка места sumti: отмечает sumti, выдвинутую из структуры пронумерованных мест; используется в модальных преобразованиях
fa'i	cmavo			   	VUhU2      	унарный математический оператор: обратно; мультипликативная инверсия; [1/a]
fa'o	cmavo			   	FAhO      	безусловный конец текста; вне регулярной грамматики; используется для компьютерного ввода
fau	cmavo			   	BAI      	модальный предлог от fasnu, 1-ое место (не причинное)               в событии, ...
fa'u	cmavo			   	JOI      	не-логический союз: соответственно, в указанном порядке; несмешивающая упорядоченная распределённая ассоциация
fau'u	experimental cmavo			   	COI      	звательная частица: простите меня!/прости меня!/извините!/я виноват!	Ср. {fraxu}, {u'u}.
fe	cmavo			   	FA      	метка места sumti: отмечает 2-ое sumti-место
fe'a	cmavo			   	VUhU3      	бинарный математический оператор: n-ный корень (чего); обратная степень [a в степени 1/b]
fe'e	cmavo			   	FEhE      	помечает интервал как распределённый в пространстве, а не в другом измерении; модифицирует интервал в пространственный (обычно из временного)
fe'eba'o	cmavo-compound			   	ZAhO*      	интервал контура пространственного события: перфектный в пространстве; за пределами ...
fe'eca'o	cmavo-compound			   	ZAhO*      	интервал контура пространственного события: продолжительно в пространстве; на всём протяжении ... (какого-либо места)
fe'eco'a	cmavo-compound			   	ZAhO*      	интервал контура пространственного события: начально, исходно в пространстве; на этом краю ... (чего-либо)
fe'eco'i	cmavo-compound			   	ZAhO*      	интервал контура пространственного события: достигнутое в пространстве; в точке ...
fe'emo'u	cmavo-compound			   	ZAhO*      	интервал контура пространственного события: законченный, завершённый в пространстве; на дальнем краю ... (чего)
fe'enoroi	cmavo-compound			   	ROI*      	пространственный модификатор интервала: никогда в пространстве; объективный количественный интервал
fe'epu'o	cmavo-compound			   	ZAhO*      	интервал контура пространственного события: до начала в пространстве; до места начала в пространстве ...(кого/чего)
fe'eroroi	cmavo-compound			   	ROI*      	пространственный модификатор интервала: всегда в пространстве; объективный количественный интервал
fe'eza'o	cmavo-compound			   	ZAhO*      	интервал контура пространственного события: перепродолжительный в пространстве; простирающийся слишком далеко за ...
fei	cmavo			   	PA2      	цифра/число: шестнадцатиричная цифра B (соответствует десятичной 11) [одиннадцать]
fe'i	cmavo			   	VUhU1      	n-арный математический оператор: делённое на; оператор деления; [(((a / b) / c) / ...)]
fe'o	cmavo			   	COI      	звательная частица: прекращение/окончание разговора
fe'u	cmavo			   	FEhU      	опускаемый терминатор: завершает используемое только для данного случая преобразование selbri в модальное слово; обычно опускаемо
fi	cmavo			   	FA      	метка места sumti: отмечает 3-ье sumti-место
fi'a	cmavo			   	FA      	метка места sumti: вопрос о номере/метке структуры места
fi'e	cmavo			   	BAI      	модальный предлог от finti, 1-ое место (создатель)                  созданный (кем), ...
fi'i	cmavo			   	COI      	звательная частица: гостеприимство - негостеприимство; добро пожаловать/ чувствуй себя как дома
fi'inai	cmavo-compound			   	COI*      	звательная частица: гостеприимство - негостеприимство; добро пожаловать/ чувствуй себя как дома
fi'o	cmavo			   	FIhO      	превращает selbri в модальную/sumti метку только для данного случая
fi'u	cmavo			   	PA3      	цифра/число: дробная черта, если перед ней и после неё идут цифры (по умолчанию "/n" - это 1/n, "n/" - это n/1); если же "/" стоит одна сама по себе, то это "золотое сечение"
fo	cmavo			   	FA      	метка места sumti: отмечает 4-ое sumti-место
fo'a	cmavo   	-fo'a-		   	KOhA4      	pro-sumti: он/она/оно/они #6 (указывается с помощью goi)
fo'e	cmavo   	-fo'e-		   	KOhA4      	pro-sumti: он/она/оно/они #7 (указывается с помощью goi)
