arktik	cmevla			      	北冰洋
besto	experimental gismu			      	x_1穿上具有隐喻性质的石棉防护服x_2，抵抗/防止火焰/焦点x_3，在x_4上燃烧/焦点的主题是x_4，来自x_5，他不同意发布信息x6，因为x7，却没意识到此海报本来是要发给x8而不是发给x9（默认jboste），在那里信息被发布以回应邮件x_10，邮件的作者希望结构词类x_11（默认SE）能被扩展到能简明地表达x_12位，该位属于brivla x_13（默认besto），其具有位结构x_14和许多的位，因为一股施虐的心血来潮x_15从brivla制造者x_16的脑中汹涌而出，这个制造者还制造了brivla x_17，其位结构为x_18，使用了许多cmavo x_19（默认zi'o）对此brivla进行加强，目的是为了使brivla x_13更有用，当基于标准x_20时，并且希望他们从未听说besto这个词，因为原因x_21，却未意识到因为原因x_22，它被讽刺挖苦般地提议出来，因为无聊x_23，此无聊属于人x_24，他/她建议以此更好地对抗评判x_25，因为这是相当有趣的，基于标准x_26，但他/她仍然希望它能拥有和x_27（默认du）同样多的位，且似乎也搅和进基于认知伦的sumti x_29之中了，因为他/她知道gismu x_30（默认besto）有基于句子x_31的位结构定义且被用于gismu x_32中的认知论sumti是基于认知论x_33使用的，尽管事实上x_34有用于besto的位x_35（默认1）到位x_36（默认x7）的方法且希望这不会是过于地长而愚蠢的笑话，甚至比笑话x_37还长，比笑话x_38还蠢，但仍然受到了x_39的喜爱——此笑话说关于他们的x_40，基于x_41的见解——但却像根本毫无趣味一样见不到，他倒是很清楚x_43用过这个gismu besto，因为x_45	一个用于搞笑的 gismu， 来自 http://mw.lojban.org/index.php?title=besto 注意：x_44因为某种原因遗失了
betfu	gismu   	-bef-   	-be'u-	      	x_1是x_2的腹部/肚子	胃={djaruntyrango};消化道={befctirango}/{befctirangyci'e}，参见{cutne}, {livga}, {canti}
betka	experimental gismu			      	x_1是甜菜，属于种类x_2
betri	gismu   	-bet-		      	x_1是悲剧/灾难/悲剧性的，对于x_2来说	参见 {badri}, {xlali}, {morsi}, {binra}
bevri	gismu   	-bev-   	-bei-	      	x_1带着/携带/运输x_2给x_3，来自x_4，通过路径x_5	暗示了所有权是从x_2转移到x_3的，参见 {marce}, {muvdu}, {benji}, {klama}
bidgug	cmevla			      	印度尼西亚	简称“印尼”
bidju	gismu			      	x_1是珠子/卵石/卵球状的物体，由材料x_2构成	参见 {bolci}, {canre}, {lakse}, {dirgo}.
bifce	gismu   	-bic-		      	x_1是蜂，属于物种/种类x_2	参见 {cinki}, {sfani}, {lakse}.
bikla	gismu   	-bik-		      	x_1抽打（突然的暴力行为）	参见 {skori}, {darxi}.
bilga	gismu   	-big-		      	x_1有义务/责任做/成为x_2，基于标准/协议x_3；x_1必须做x_2	参见 {zifre},{fuzme}
bilma	gismu   	-bi'a-		      	x_1生病/虚弱，带有症状x_2，来自疾病x_3	参见 {kanro}, {mikce}, {spita}, {senci}, {kafke}, {binra}
bilni	gismu   	-bil-		      	x_1是军事化的/严格管制的/有力组织的，被系统x_2，为了目的x_3	也指：准军事化的；广义上的“军人”不一定是指为了保卫某个国家的军队的一部分（{bilpre}）；参见 {jenmi},{force}, {sonci}, {ganzu}, {pulji}.
bindo	gismu   	-bid-		      	x_1是有关于印度尼西亚共同语言/文化的内容/事物，在x_2方面	参见 {bindo}, {meljo}, {baxso}.
binra	gismu			      	x_1确保x_2（人）抵抗危险x_3（事件），有益于/有利于x_4（事件）	也指：x_3损失/损害；参见{bandu}, {cirko}, {betri}, {basti}, {bilma}
binxo	gismu   	-bix-   	-bi'o-	      	x_1 成为/变为/转换/变形为x_2, 在条件x_3的情况下.
birje	gismu			      	x_1是啤酒，由酿造x_2得来	参见 {pinxe}, {barja}, {jikru}, {vanju}, {xalka}, {fusra}.
birka	gismu   	-bir-		      	x_1是x_2的胳膊/手臂	手肘={bircidni}；手腕={xanterjo'e}；参见 {jimca}, {janco}, {xance}, {rebla}
birti	gismu   	-bit-		      	x_1 肯定 x_2 成立。	参见： {jetnu}, {jinvi}, {krici}, {djuno}, {senpi}, {sruma}。
bisli	gismu   	-bis-		      	x_1是冰/由冰构成，冰的组分/材料包括x_2；（注：此处的冰并不一定指水结晶而成的，也可以指其他化合物降温结晶而成的固体，如二氧化碳结晶形成干冰。）	组分包括x_2，但x_2可以不是该冰的全部化合物；参见 {kunra}, {runme}, {lenku}, {krili}, {bratu}, {snime}, {carvi}
bitmu	gismu   	-bim-   	-bi'u-	      	x_1是隔开x_2和x_3的墙/篱，在结构x_4上	参见 {jbini}, {sepli}, {fendi}, {canko}, {drudi}, {kumfa}, {loldi}, {senta}, {snuji}, {pagre}, {gacri}, {kuspe}, {marbi}, {vorme}.
blabi	gismu   	-lab-		      	x_1是白色的/颜色非常淡的	可以用来形容其他颜色词，表示淡化的含义，如：粉红={labyxu'e}/{xunblabi}；参见{kandi}, {skari}, {xekri}, {grusi}, {kandi}, {manku}, {carmi}, {bakri}, {blanu}, {bunre}, {cicna}, {crino}, {narju}, {nukni}, {pelxu}, {xunre}, {zirpu}.
blabruk	cmevla			      	白俄罗斯
blaci	gismu			      	x_1是玻璃/玻璃制品/含有玻璃，玻璃的物质构成为x_2	参见{kabri}
blanu	gismu   	-bla-		      	x_1是蓝色的	参见：{skari}, {blabi}, {xekri}, {zirpu}, {kandi}, {carmi}, {cicna}。
bliku	gismu   	-bli-		      	x_1是块状物（三维结构的物体），有材料x_2构成，包含面/表面/侧面x_3	x_3的面应包括面数，面积，形状等；（平面）多面体={pitybli}；正多面体={kubybli},{blikybli}；土砖={kitybli}；参见{tapla}, {kubli}, {tanbo}, {canlu}, {kojna}, {sefta}, {bolci}, {kurfa}, {tarmi}.
bloti	gismu   	-lot-   	-blo-   	-lo'i-      	x_1 是 艇/舟/船/载具 ,承载x_2, 由 x_3推进.	参考:{falnu}, {fulta}, {marce}, {jatna}, {sabnu}.
bluji	experimental gismu			      	x_1是牛仔裤	参见 {de'emni}, {bukpu}, {palku}, {taxfu}
bolci	gismu   	-bol-   	-boi-	      	x_1是球，由材料x_2构成；x_1是由x_2构成的球状物体	参见 {bliku}, {cukla}, {bidju}, {gunro}.
bongu	gismu   	-bog-   	-bo'u-	      	x_1是骨，功能是x_2，在身体x_3中	软骨={ranbo'u}；骷髅骨={bogygreku}；参见{greku}, {denci}, {jirna}, {sarji}.
bosnan	cmevla			      	波斯尼亚	前南斯拉夫成员
botpi	gismu   	-bot-   	-bo'i-	      	x_1是瓶/罐/壶（可关闭的容器），装有x_2，由材料x_3构成，带有盖子x_4	参见 {baktu}, {lante}, {patxu}, {tansi}, {tanxe}, {vasru}, {gacri}.
boxfo	gismu   	-bof-   	-bo'o-	      	x_1是薄片/片状的（二维的，易折叠弯曲），由材料x_2构成	参见 {plita}, {cinje}, {polje}, {slasi}, {tinci}.
boxna	gismu   	-bon-   	-bo'a-	      	x_1是波，传播媒介为x_2，波形为x_3，波长为x_4，频率为x_5	参见 {slilu}, {dikni}, {cinje}, {polje}, {morna}, {canre}.
bradi	gismu			      	x_1是与x_2敌对的/是x_2的敌人，两者为x_3争斗	参见 {damba}, {jamna}, {darlu}, {pendo}, {fapro}, {gunta}, {sarji}, {jivna}, {jinga}.
bratu	gismu			      	x_1是冰雹/冻雨/固态降水，构成中包括物质x_2	指物质本身，而不是下冰雹的过程；参见 {carvi}, {snime}, {bisli}, {tcima}.
brazilias	cmevla			      	巴西
brazo	gismu   	-raz-		      	x_1是关于巴西文化/国家/语言等的事物，在x_2方面	参见 {porto}, {ketco}.
bredi	gismu   	-red-   	-bre-	      	x_1为x_2（事物）做好了准备/准备充分	参见 {spaji}, {jukpa}.
bridi	gismu   	-bri-		      	x_1（du'u）是含有联系/关系x_2的谓语关系，基于论据x_3（集合/序列）	也指：x_3（完整序列）是以关系x_2联系的；参见 {sumti}, {fancu}.
brife	gismu   	-bif-   	-bi'e-	      	x_1是风，来自方向x_2，风速为x_3；x_1由方向x_2吹来	参见 {tcima}.
briju	gismu   	-bij-		      	x_1是x_2的办公室/工作地点，位于地点x_3	参见 {jibri}, {gunka}.
brito	gismu   	-rit-		      	x_1是关于英国/英联邦的文化/国家等的事物，在x_2方面	参见 {glico}, {skoto}, {merko}, {ropno}.
broda	gismu   	-rod-		      	x_1是第一个可被分配的谓词变量（上下文决定位置结构）	参见 {bu'a}.
brode	gismu   	-bo'e-		      	x_1是第二个可被分配的谓词变量（上下文决定位置结构）
brodi	gismu			      	x_1是第三个可被分配的谓词变量（上下文决定位置结构）
brodo	gismu			      	x_1是第四个可被分配的谓词变量（上下文决定位置结构）
brodu	gismu			      	x_1是第五个可被分配的谓词变量（上下文决定位置结构）
bruna	gismu   	-bun-   	-bu'a-	      	x_1是x_2的兄弟，依据标准/关系x_3（不必要是生理学上的兄弟关系）	参见 {mensi}, {tunba}, {tamne}, {famti}, {bersa}.
bruNAIS	cmevla			      	文莱
budjo	gismu   	-buj-   	-bu'o-	      	x_1是关于佛教文化/宗教/理念等的事物，在x_2方面	参见 {latna}, {lijda}.
bukpu	gismu   	-buk-   	-bu'u-	      	x_1是布，由材料x_2构成	参见 {mapni}, {matli}, {sunla}, {slasi}, {silka}.
bumru	gismu   	-bum-		      	x_1是雾，主要由液体x_2产生	参见 {djacu}, {carvi}, {danmo}, {lunsa}, {tcima}, {gapci}.
bunda	gismu   	-bud-		      	x_1是x_2数量（默认为1）的当地重量单位（非公制单位），标准为x_3，亚单位为x_4	更多的亚单位可以在后添加x_5.x6……；参见{grake}, {junta}, {tilju}, {rupnu}, {fepni}, {dekpu}, {gutci}, {minli}, {merli}, {kramu}.
bunre	gismu   	-bur-   	-bu'e-	      	x_1是褐色/棕色的	参见 {skari}, {blabi}, {xekri}, {kandi}, {carmi}.
burcu	gismu   	-bru-		      	x_1是刷子，为了目的x_2（事件），带有刷毛x_3	参见 {komcu}, {pinsi}.
burna	gismu			      	x_1是尴尬的/不自在的/窘迫的，在环境x_2下/关于x_2（谓词子句）时	参见 {cinmo}.
byLIN	cmevla			      	柏林
cabna	gismu   	-cab-		      	x_1是当前的/当下的/现在的/与x_2同时的（特指时间）	默认x_2指“当下的时间”，x_1指“现在”；参见 {zvati}, {balvi}, {purci}, {ca},{ca'a}.
cabra	gismu   	-ca'a-		      	x_1是机械装置/设备/装备，为了功能x_2，由x_3控制	参见 {tutci}, {minji}, {finti}; {girzu}, {ganzu}，{pilno}
cacra	gismu			      	在持续时间长度上，x_1是x_2（数量，默认：1）小时，基于标准x_3	参见 {junla}, {mentu}, {snidu}, {tcika}, {temci}.
cadzu	gismu   	-dzu-		      	x_1走/步行在路面x_2上，用身体上的部位x_3	参见 {stapa}, {bajra}, {klama}, {litru}.
cafne	gismu   	-caf-		      	x_1是经常/反复发生的，基于标准x_2	参见 {rirci}, {fadni}, {kampu}, {rapli}, {krefu}, {lakne}, {piso'iroi}及其它近似的cmavo
cagna	experimental gismu			      	x_1是伤口，位于身体x_2上的部位x_3，因为原因x_4而被造成	与{velxai}不同，{cagna}特指机体表面的物理损伤，包括：{ka'arcagna}割伤，{fercagna}皲裂/裂口，{gukcagna}擦伤，{tuncagna}刺伤，{grecagna}戳伤，{batcagna}咬伤，{dancagna}枪伤，{jelcagna}灼伤/烧伤，{da'ercagna}褥疮，{furcagna}坏疽，{daxcagna}挫伤/瘀伤，{camdaxcagna}红肿，{ra'ircagna}慢性伤口/创面等
cakla	gismu			      	x_1是/含有巧克力/可可；x_1由巧克力/可可组成	参见 {ckafi}.
calku	gismu   	-cak-		      	x_1是壳（坚固的保护性外壳），围绕/包围x_2，由x_3组成	参见 {pilka}, {skapi}, {gacri}, {bartu}.
canci	gismu			      	x_1从地点/位置x_2消失，基于感觉器官/设备x_3观察时	也指离开/走开；参见 {cliva}, {ganse}, {zgana}, {lebna}, {vimcu}.
cando	gismu   	-cad-		      	x_1是闲置的/休息的	指动作；参见 {surla}.
cangan	cmevla			      	香港	普通话Xianggang的Lojban化
cange	gismu   	-cag-		      	x_1是农场/农庄，位于x_2，由x_3种植，种植作物x_4；x_1是有关于土地的	种植是指任何有组织的种植活动，不限于农作物的种植；参见 {purdi}, {nurma}, {ferti}, {foldi}, {xarju}.
canja	gismu   	-caj-		      	x_1 用x_2交换/交易x_3，交易的另一方为x_4	x_2/x_3可以指物品/商品/事件（服务）/性质等；具体来说，涉及到所有权时，对于物品/商品的交换物来说，可用 {posycanja} ；参见 {dunda}, {friti}, {vecnu}, {zarci}, {jdini}, {pleji}, {jdima}, {jerna}, {kargu}, {banxa}, {cirko}, {dunda}, {janta}, {kargu}, {prali}, {sfasa}, {zivle};另可参考{jdima}的备注
canko	gismu   	-ca'o-		      	x_1是窗/墙上的开口，位于墙体/建筑物/结构x_2上	参见 {vorme}, {bitmu}, {ganlo}, {murta}, {pagre}, {kevna}, {jvinu}, {kalri}, {kuspe}.
canlu	gismu   	-cal-   	-ca'u-	      	x_1是空间（至少是一个三维区域），被x_2所占据	占据= {selca'u}；参见 {kensa}, {bliku}, {kumfa}, {kevna}, {kunti}, {tubnu}, {dekpu}.
canpa	gismu   	-cna-		      	x_1是铲/锹，为了挖/掘x_2	参见 {kakpa}, {guska}, {tutci}.
canre	gismu   	-can-		      	x_1是/含有沙子/由沙构成，来源于x_2，物质构成为x_3	砂轮= {gukcanre}；参见 {bidju}, {rokci}, {zalvi}, {boxna}.
canti	gismu			      	x_1是x_2的肠道/消化系统	可比喻：处理中心；参见 {betfu}.
canxais	cmevla			      	上海
carce	gismu			      	x_1是车，为了运输x_2，由x_3驱动	参见 {karce}, {xislu}, {marce}, {matra}.
carmi	gismu   	-cam-   	-cai-	      	x_1是明亮的/光亮的，以性质x_2（ka），在观察者x_3看来	有光泽的/闪闪发光的={gusycai} 或 {camgu'i};在色彩上，指高的饱和度，与{kandi}相反； 参见 {denmi}, {gusni}, {kandi}, {ruble}, {skari}, {tilju}, {tsali}, {mutce}, {blabi}, {blanu}, {bunre}, {cicna}, {crino}, {grusi}, {narju}, {nukni}, {pelxu}, {xekri}, {xunre}, {zirpu}.
carna	gismu   	-car-		      	x_1转动航向/运动矢量x_2至方向x_3，转动角度/指向某点x_4	旋转= {jincarna}； 参见 {gunro}, {jendu}. 由 Robin Lee Powell 提出的{carna}d的新定义与其旧定义方向兼容：x_1绕转轴x_2转动，在方向x_3上
carpacib	cmevla			      	ROT-13	回转13位，指一种对26个英文字母进行简单变换加密的办法，不妨译为13位转字法。
cartu	gismu   	-cat-		      	x_1是图表/表格，关于x_2，呈现信息/数据x_3	参见 {platu}.
carvi	gismu   	-cav-		      	x_1落雨/洒水至x_2，水来自x_3；x_1是坠落物（不限定为雨）	参见 {bratu}, {dilnu}, {santa}, {snime}, {tcima}, {bisli}, {bumru}.
casnu	gismu   	-snu-		      	x_1（通常团体，但也可能个体/jo'u）谈论/讨论/议论主题/话题x_2	也指聊天、交谈；参见 {bacru}, {cusku}, {darlu}, {tavla}.
catke	gismu   	-ca'e-		      	x_1推/挤x_2上某部位x_3	推动/推移={ca'ermuvgau}；参见 {danre}, {lacpu}
catlu	gismu   	-cta-		      	x_1 瞧/看/审视/盯/瞅/注视 x_2.
catni	gismu   	-ca'i-		      	x_1对于问题/事物/人x_2是有权的/官方的，基于/源于基础x_3	参见 {turni}, {tutra}, {krati}, {ca'i}, {jaspu}, {pulji}.
catra	gismu			      	x_1杀死x_2，通过行动/方式x_3	参见 {morsi}, {xarci}.
caxno	gismu   	-cax-		      	x_1是浅的，在方向/性质x_2上，基于参考点x_3，依据测量标准x_4	参见 {condi}, {tordu}, {jarki}, {cinla}, {cmalu}, {jarki}, {jmifa}.
cecla	gismu   	-cel-   	-ce'a-	      	x_1发射/射击导弹/火箭/子弹x_2，推进动力是/来自x_3	x_1指枪/炮/发射器；x_1 发射/投掷（推进力不必限定来自物体内部，比较{renro}）；参见 {renro}, {danti}, {jakne}, {jbama}, {spoja}.
cecmu	gismu   	-cem-   	-ce'u-	      	x_1是生物x_2聚集的群落/聚集地/社区	参见 {bende}, {kulnu}, {natmi}, {tcadu}, {jecta}, {girzu}.
cedra	gismu			      	x_1是年代/时代，由事物/性质/思潮/时间间隔x_2决定/特征化	x_2内部应当定义边界；如果只是表示一个被特征化的时期，时间区间的本质应当是一个谓词子句，或用tu'a进行标注； 用tu'a标注时，x_2 也可能指那个时代特征化的物品或实例；参见 {ranji}, {temci}, {citsi}.
cenba	gismu   	-cne-		      	x_1改变/变化，在性质/数量x_2（ka/ni）上，变化程度为x_3，在环镜/条件x_4下	不一定有结果，也不一定存在改变的诱因；参见{cenba}无结果的，{galfi}有结果和原因，{stika}无结果但有原因， {stodi}, {zasni}, {binxo}
censa	gismu   	-ces-		      	x_1是神圣的/让人敬畏的，对人/民族/文化/宗教/组织x_2来说	参见 {cevni}, {krici}, {latna}, {pruxi}, {lijda}, {sinma}.
centi	gismu   	-cen-		      	x_1是百分之一个/份[1/100; 1*10^{-2}]x_2，在x_3方面（默认为计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
cerda	gismu   	-ced-		      	x_1是继承者，继承的事物/性质为x_2，来自于被继承者x_3，基于继承规则x_4	语义上讲，继承 {posycerda}是指继承了事物的所有权{posyselcerda}，即继承的是”loka ponse 某物“，故x_2位应当使用谓词子句或tu'a； 参见 {jgina}.
cerni	gismu   	-cer-		      	x_1是早上/上午，在某天x_2，某地x_3	今晨={cabdeicerni}；明早= {bavlamcerni}；昨天早上= {prulamcerni}/{prulamdeicerni}；参见 {vanci}, {murse}, {tcika}.
certu	gismu   	-cre-		      	x_1是专家/专业的/职业的/有技术的，在时间/活动/工作x_2上，基于标准x_3	也指足以胜任的，熟练的； 参见 {djuno}, {stati}, {kakne}.
cev	cmevla			      	神	专名，另参见{jegvon}。两者均不同于泛指神仙的{cevni}。
cevni	gismu   	-cev-   	-cei-	      	x_1是(人群/地域)x_2的神, 享有领地x_3 ; x_1是神圣的.
cfari	gismu   	-cfa-		      	x_1（状态/事件/进程）开始/启动	参见 {sisti}, {krasi}, {fanmo}, {co'acfa}.
cfika	gismu   	-fik-   	-fi'a-	      	x_1是幻想作品，关于主题/主旨x_2，作者为x_3	也指传说/故事/谎言/不真实的；参见 {cukta}, {lisri}, {prosa}, {fatci}, {jitfa}, {jetnu}, {xanri}.
cfila	gismu   	-cfi-		      	x_1（ka）是x_2的缺点/缺陷，导致x_3	参见 {cikre}, {srera}, {fenra}, {fliba}, {prane}.
cfine	gismu			      	x_1是由x_2材料做成的楔子	参见 {tutci}.
cfipu	gismu   	-fi'u-		      	x_1（事物/状态）让观察者x_2感到困惑/疑惑，因为让人困惑的性质x_3	参见 {pluja}, {cfipu}, {zunti}.
ciblu	gismu   	-blu-		      	x_1是生物x_2的血液	参见 {risna}, {flecu}.
cicna	gismu			      	x_1是蓝绿色的	参见 {skari}, {blabi}, {xekri}, {kandi}, {carmi}, {crino}, {blanu}.
cidja	gismu   	-dja-		      	x_1是x_2的食物/养料；x_1能够为x_2提供营养物质	参见 {citka}, {nitcu}, {pinxe}, {xagji}, {cpina}.
cidni	gismu   	-cid-		      	x_1是关节（如：手肘/膝盖/手指弯曲处），位于肢体x_2上，身体x_3上	可比喻：弯管；参见 {korcu}, {jarco}, {jganu}.
cidro	gismu   	-dro-		      	x_1是氢/由氢构成[H]	参见 {gapci}, {xukmi}.
cifnu	gismu   	-cif-		      	x_1是婴儿/幼崽，属于物种x_2	也指幼稚的； 参见 {makcu}, {verba}.
