a'onai	cmavo-compound			   	UI*1      	絶望 （ a'o 希望 - a'onai 絶望）	心態詞； それについて望めることが無いという気持「.a'onai ri'a le vi fagma'afesti lo vinji na'e ka’e vofli／この火山灰のせいで飛行機は飛べそうもない」「.a'o nai ro da ca se cirko／絶望的だ、全員亡くなっているだろう」 ・読み方： アホナイ  ・関連語： {tolpacna}
au	cmavo			   	UI1      	欲求 （ au 欲求 - aucu'i 無欲求 - aunai 抵抗）	心態詞； それを欲し求める気持「.au mi binxo lo cakcurnu／私は貝になりたい」「.au lo tricu cu krati lo ro se genja gi'e sfasa lo kusru be gy／樹木は根のあるものたちを代表して、ひどいことをする奴を罰してほしい」 ・読み方： アウ  ・関連語： {djica}
a'u	cmavo			   	UI1      	関心 （ a'u 関心 - a'ucu'i 無関心 - a'unai 反感）	心態詞； それに好奇心を覚えて惹きつけられる気持「a'u ta mo／わぁ、なぁにそれ？」「.a'u ma ba'o se lifri do／どんなことがあったの？」 ・読み方： アフ  ・関連語： {selci'i}, {kurji}
a'ucu'i	cmavo-compound			   	UI*1      	無関心 （ a'u 関心 - a'ucu'i 無関心 - a'unai 反感）	心態詞； それについて興味が湧かない情況「.a'ucu'i ko'a mi nelci／彼女が私を慕っていることなんかどうでも良い」「.a'u cu'i na cuntu mi／私には関係ない」 ・読み方： アフシュヒ ・関連語： {nalselci'i}
aucu'i	cmavo-compound			   	UI*1      	無欲求 （ au 欲求 - aucu'i 無欲求 - aunai 抵抗）	心態詞； それを特に欲しくはないという気持「.aucu'i klama la vonplin.／火星に行けなくても良い」「.au cu'i makau jinga／誰が勝っても良い」 ・読み方： アウシュヒ  ・関連語： {nordji}
aunai	cmavo-compound			   	UI*1      	抵抗 （ au 欲求 - aucu'i 無欲求 - aunai 抵抗）	心態詞； それが嫌で手中にしたくない気持「.aunai mi cliva／離れたくない」 ・読み方： アウナイ  ・関連語： {toldji}
a'unai	cmavo-compound			   	UI*1      	反感 （ a'u 関心 - a'ucu'i 無関心 - a'unai 反感）	心態詞； それに醜悪さを覚えて拒んでしまう気持「a'unai ta mo／げっ、なんじゃそれ？」「.a'u nai ta panci simsa lo kalci／うげぇ、それなんかうんこ臭い」 ・読み方： アフナイ ・関連語： {selrigni}
ba	cmavo			   	PU      	未来 ： 間制詞（時間・方向）； [sumti] の左に付いて、その [sumti] よりも以降の時点で [selbri] が起こることを表す； sumti は省略できる； sumti を欠いて selbri の左隣に来るときはその selbri と一体化して１つの selbri とみなされる（従ってこれをそのまま冠詞で sumti 化できる）	・読み方： バ
ba'a	cmavo			   	UI2      	予期 （ ba'a 予期 - ba'acu'i 経験 - ba'anai 回想）	心態詞；「ba'a do bazu djuno／そのうちわかるだろうよ」 ・読み方： バハ  ・関連語： {bavykri}, {lifri}, {morji}
ba'acu'i	cmavo-compound			   	UI*2      	経験 （ ba'a 予期 - ba'acu'i 経験 - ba'anai 回想）	心態詞；「ba'a cu'i ca gi pensi gi nu'o co'u se marce／あるある、考え事してて、降りるはずの駅で降り損なうの」 ・読み方： バハシュヒ
ba'anai	cmavo-compound			   	UI*2      	回想 （ ba'a 予期 - ba'acu'i 経験 - ba'anai 回想）	心態詞；「.ua ba'anai／あっ、思い出した」「ba'anai ba'o xaksu lo silna／そういえば、塩を切らしてたな」 ・読み方： バハナイ
ba'e	cmavo			   	BAhE      	強調 ： 次に来る語を強調する	・読み方： バヘ
bai	cmavo			   	BAI      	~に強いられて ： 法制詞； bapli の x_1	・読み方： バイ
ba'i	cmavo			   	BAI      	~が代わりとなって ： 法制詞； basti の x_1	・読み方： バヒ
ba'o	cmavo			   	ZAhO      	完了（～の事後において） ： 相制詞；	・読み方： バホ
ba'oi	experimental cmavo			   	ROI      	確率 ： 数量詞の右について、未来に起こりうる bridi の確率性を表す	試験的 cmavo。 「roba'oiku mi ba roroi prami do .iucai／未来永劫、常にあなた♡を愛する」 ・読み方： バホイ
bau	cmavo			   	BAI      	~語で ： 法制詞； bangu の x_1	・読み方： バウ
ba'u	cmavo			   	UI3      	誇張 （ ba'u 誇張 - ba'ucu'i 的確 - ba'unai 控えめ）	心態詞「blabi kerfa me ba'u ci ki'o pavnongutci／白髪三千丈」 ・読み方： バフ ・関連語： {dukse}
ba'ucu'i	cmavo-compound			   	UI*3      	的確 （ ba'u 誇張 - ba'ucu'i 的確 - ba'unai 控えめ）	心態詞「lo finpe zo'u ba'ucu'i lo ka clani pu me lo birka si'e ／魚はちょうど腕の長さほどあった。」 ・読み方： バフシュヒ ・関連語： {satci}
ba'unai	cmavo-compound			   	UI*3      	控えめ （ ba'u 誇張 - ba'ucu'i 的確 - ba'unai 控えめ）	心態詞「ba'unai ku'i du munonoki'oki'o rupnu to'e prali／控えめに言っても5億円の損失です」 ・読み方： バフナイ ・関連語： {toldu'e}
be	cmavo			   	BE      	~の ： sumti を brivla に接続する	・読み方： ベ
be'a	cmavo			   	FAhA1      	～の北方に／北側で ： 間制詞（空間・方向）	・読み方： ベハ
be'e	cmavo			   	COI      	発信求む ：心態詞（呼応系）	「もしもし」 ・読み方： ベヘ
bei	cmavo			   	BEI      	~の（拡張） ： sumti を brivla に接続する（２つ目以降の sumti に用いる）	・読み方： ベイ
be'i	cmavo			   	BAI      	~から送られて ： 付加詞・法制詞 benji の x_1	・読み方： ベヒ
be'o	cmavo			   	BEhO      	sumti 接続終了 ： 境界詞； brivla に BE BEI で繋げた sumti の末尾を示す	・読み方： ベホ
be'u	cmavo			   	UI5      	欠如 （ be'u 欠如 - be'ucu'i 有 - be'unai 充溢）	心態詞（修飾系）；何かを欠いていたり、必要としている気持ち。直前に心態詞がある場合、その感情が何かを欠いていたり、必要ととしていたりすることから生じていることを表す；「be'u ro'a lo zdacau cu me pa litru／ルンペンのひとり旅はさみしいね」（山頭火『行乞記（二）』） ・読み方： ベフ  ・関連語： {claxu}, {nitcu}, {mansa}
be'ucu'i	cmavo-compound			   	UI*5      	有 （ be'u 欠如 - be'ucu'i 有 - be'unai 充溢）	心態詞（修飾系）何らかの感情が有る。 ・読み方： ベフシュヒ
be'unai	cmavo-compound			   	UI*5      	充溢 （ be'u 欠如 - be'ucu'i 有 - be'unai 充溢）	心態詞（修飾系）感情に溢れている。 ・読み方： ベフナイ
bi	cmavo   	-biv-		   	PA1      	8 ： 数量詞	・大意： 8 ・読み方： ビ
bi'e	cmavo			   	BIhE      	優先演算 ： MEX（数式）演算子の左についてその演算を優先化する	・読み方： ビヘ
bi'i	cmavo   	-biz-		   	BIhI      	~から~まで（順序なし） ： 接続詞（非論理・間隔）	・大意： ～から～まで ・読み方： ビヒ
bi'o	cmavo			   	BIhI      	~から~まで（順序あり） ： 接続詞（非論理・間隔）	「nu litru bi'o litru litru ru'i .e'i kei me mi／旅から旅へ旅しつゞける外ない私でありました」（山頭火『行乞記（二）』） ・読み方： ビホ
bi'u	cmavo			   	UI3a      	新情報 （ bi'u 新情報 - bi'unai 古情報）	心態詞「こういう件があるんですが」「bi'u lo do panzi pu snuti xrani lo drata／お子さんが事故で相手に怪我をさせました（振り込め詐欺）」 ・読み方： ビフ ・関連語： {cnino} {datni}
bi'unai	cmavo-compound			   	UI*3a      	古情報 （ bi'u 新情報 - bi'unai 古情報）	心態詞「あの件についてですが」「bi'unai ko sorcu benji pleji lo binra jdini ti／さきほどの件ですが、賠償金はこちらに振り込んでください。（振り込め詐欺）」 ・読み方： ビフナイ ・関連語： {slabu} {datni}
bo	cmavo   	-bor-		   	BO      	範囲接続（短） ： 種々の構造範囲を最も短く右方向に繋げる	・大意： 小範囲結合 ・読み方： ボ
boi	cmavo			   	BOI      	数詞／字詞終了 ： 境界詞	・読み方： ボイ
bu	cmavo   	-bus-   	-bu'i-	   	BU      	字詞造成 ： 単語を字詞（BY）にする	「denpa bu／ . （ロジバンの休止記号）」「slaka bu／ , （ロジバンの音節区切り記号）」「uibu／ ＼(^o^)／」「zo'o bu／ ;-)」 ・大意： 字詞造成 ・読み方： ブ
bu'a	cmavo   	-bul-		   	GOhA      	量化型 selbri 変数１ ： 代詞（selbri）； 量化可能な selbri 変数の１つ目	「ganai tinbe lo menli gi se bradi .i ganai jinru lo se cinmo gi se fleca'e .i ganai xarnu gi to'e zifre .i ro bu'a zo'u se gu bu'a gi lo prenu cecmu cu se xabju co nandu／智に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。」（漱石『草枕』） ・大意： 某 selbri 一 ・読み方： ブハ ・関連語： {broda}
bu'ai	experimental cmavo			   	NU      	量化型 selbri 変数抽象 ： 抽象詞； bridi の左に付いて、第3階以上の述語論理で使われる束縛 selbri 変数とする	第1階の述語論理では {zo'e} が定項、 {da} が束縛変項であり、第2階の述語論理では {co'e} が selbri 定数、 {bu'a} が束縛 selbri 変数である。 第3階以上の述語論理を表現するためには、第2階の selbri 全体を対象領域とする selbri が必要である。 NU類に属する {su'u} ・ {bu'ai} はそれぞれ、第2階の selbri 全体を対象領域とする selbri 定数・束縛 selbri 変数を構成することができる。 {bu'ai} が取る selbri 変数が2個以上になる場合は {ju'e} などで繋げる。 {bu'ai} を入れ子状に使えば、さらに高階の述語論理も構成できる。 例： su'o bu'ai xe'u kei su'o bu'a ro da zo'u bu'ai da bu'a （この {xe'u} はNU類を冠頭に置くためのダミー的な {selbrisle}） ・関連語： {su'u}, {bu'a}; {xe'u}.
bu'e	cmavo			   	GOhA      	量化型 selbri 変数２ ： 代詞（selbri）； 量化可能な selbri 変数の２つ目	・読み方： ブヘ
bu'i	cmavo			   	GOhA      	量化型 selbri 変数３ ： 代詞（selbri）； 量化可能な selbri 変数の３つ目	・読み方： ブヒ
bu'o	cmavo			   	UI7      	感じ始め （ bu'o 感じ始め - bu'ocu'i まだ感じて - bu'onai もう感じず）	修飾系； 心情や態度を感覚し始めている ・読み方： ブホ
bu'ocu'i	cmavo-compound			   	UI*7      	まだ感じて （ bu'o 感じ始め - bu'ocu'i まだ感じて - bu'onai もう感じず）	修飾系； 心情や態度をまだ感覚している ・読み方： ブホシュヒ
bu'onai	cmavo-compound			   	UI*7      	もう感じず （ bu'o 感じ始め - bu'ocu'i まだ感じて - bu'onai もう感じず）	修飾系； 心情や態度をもう感覚していない ・読み方： ブホナイ
bu'u	cmavo			   	FAhA3      	~（場所）にて ： 間制詞（空間・方向）； 同所性を現す； 時間における ca に相当	・読み方： ブフ
by	cmavo			   	BY2      	b ： 字詞；	・読み方： ブァ
ca	cmavo			   	PU      	現在 ： 間制詞（時間・方向）； [sumti] の左に付いて、その [sumti] と同時／現在の時点で [selbri] が起こっているを表す； 必ずしも発話そのもの現在時点とは限らない（それは nau で表す）； sumti は省略できる； sumti を欠いて selbri の左隣に来るときはその selbri と一体化して１つの selbri とみなされる（従ってこれをそのまま冠詞で sumti 化できる）	・読み方： シャ
ca'a	cmavo   	-caz-		   	CAhA      	実際に ： 相制詞（モダリティ）；	・大意： 実際に ・読み方： ・関連語： {cabna}, {ca}
ca'e	cmavo			   	UI2      	定義	心態詞（認識系）； それがどうであるかを定義しようとしている認識態度「ca'e le mi tubnu cu na'ebo marna tubnu／俺のパイプはマリファナじゃねえ、俺がそう言うんだから間違いねえ」「ca'e le re do cu simxu speni／ここに二人を夫婦とする」 ・読み方： シャヘ  ・関連語： {mitcu'a}, {mitsmu}
cai	cmavo			   	CAI      	烈	心態詞； 心情や態度の強烈性を表す 「.uucai blabi kerfa filcni／あはれむべきかな、白髪のセンチメンタリスト！」（山頭火『行乞記（二）』）
ca'i	cmavo			   	BAI      	~の権限で ： catni 法制詞, x_1	・読み方： シャヒ
ca'o	cmavo			   	ZAhO      	進行（～の間／～において） ： 相制詞；	・読み方： シャホ
cau	cmavo			   	BAI      	~が欠いて ： claxu 法制詞, x_1	何かを欠いている物／者／事。 ・読み方： シャウ
ca'u	cmavo			   	FAhA2      	～の前方に／前側で ： 間制詞（空間・方向）；	・読み方： シャフ
ce	cmavo   	-cec-		   	JOI      	〜と／そして〜 ： 接続詞（非論理・sumti/selbri）； 無順序の繋がりを示し、集合を形成する	・大意： ～とセットで ・読み方： シェ ・語呂合わせ： ～とシェットで ・関連語： {cmima}, {ce'o}
ce'a	cmavo			   	LAU      	フォント変換 ： 次の語が示すフォントに字詞を変換する	・読み方： シェハ
ce'e	cmavo			   	CEhE      	後置名辞組 ： 複数の名辞を後置型の組にまとめる	・読み方： シェヘ
cei	cmavo			   	CEI      	selbri 配当 ： selbri 変数（broda シリーズ）に selbri を（あるいはその逆方向で）アサインする	・読み方： シェイ
ce'i	cmavo   	-cez-		   	PA3      	パーセント／％ ： 数量詞；	・大意： パーセント ・読み方： シェヒ ・関連語： {saclu}, {centi}, {parbi}, {frinu}
ce'o	cmavo   	-ce'o-		   	JOI      	~と~が連続して（順序あり） ： 接続詞（非論理・sumti/selbri）； 順序の伴う連続を表す	「~、それから~」 ・大意： ～と連続して ・読み方： シェホ ・関連語： {porsi}, {ce}
ce'u	cmavo			   	KOhA8      	ラムダ ： 抽象節内において焦点となる sumti の箇所にそのまま代えて置く	「lo ka ce'u mamta／母親としての性質」「lo ka mamta ce'u／母親を持つものとしての性質」 ・読み方： シェフ
ci	cmavo   	-cib-		   	PA1      	3 ： 数量詞；	・大意： 3 ・読み方： シ ・語呂合わせ： 資産
ci'e	cmavo			   	BAI      	~を体系として ： ciste 法制詞, x_1	・読み方： シヘ
ci'i	cmavo			   	PA5      	無限 ： 数量詞； 数が続く場合は可算無限集合の濃度を表す	・読み方： シヒ
ci'o	cmavo			   	BAI      	~が感じて ： cinmo 法制詞, x_1	・読み方： シホ
ci'oi	experimental cmavo			   	COI2      	心態詞標識 ：心態詞； cmevla の左に付いてそれを即席の心態詞にする；	試験的 cmavo。「cinmo」からの派生。「ci'oi dokidokin denpa／ドキドキしながら待つ」 ・読み方： シホイ
ci'u	cmavo			   	BAI      	~を尺度として ： ckilu 法制詞, x_1	・読み方： シフ
co	cmavo   	-col-		   	CO      	tanru 反転 ： tanru の修飾関係を反転させる。修飾部のPSが後続の terbri を担う。	「tricu co barda」は「木、大きな」。 ・大意： tanru 反転 ・読み方： ショ
co'a	cmavo   	-co'a-		   	ZAhO      	開始 ： 相制詞；	「mi ro re'u co'a jikcre .ua sei camga'e／私もいよ／＼世間師になつたわいと痛感した」（山頭火『行乞記（二）』）「fa'a lo cifnu poi klaku co'a lo cerni cu zi co'a cmabratu／朝から泣く児に霰がふつてきた」（山頭火『行乞記（二）』） ・大意： テンス： 開始 ・読み方： ショハ ・語呂合わせ： 書は始め ・関連語： {cfari}, {krasi}, {clira}
co'e	cmavo   	-com-   	-co'e-	   	GOhA      	不特定 selbri ： 意味とPSが不特定の selbri を表す； tanru も形成できる	・大意： 不特定 selbri ・読み方： ショヘ ・語呂合わせ： 書へ
coi	cmavo			   	COI      	挨拶（会う） ：心態詞（呼応系）；	・読み方： ショイ
co'i	cmavo			   	ZAhO      	到達 ： 相制詞；	「jausna ninyna'a co'i／水音の、新年が来た」（山頭火『行乞記（二）』） ・読み方： ショヒ
co'o	cmavo			   	COI      	挨拶（別れ） ：心態詞（呼応系）；	・読み方： ショホ
co'u	cmavo   	-co'u-		   	ZAhO      	停止 ： 相制詞； ~の停止時点において	事の完了は含意されない。中断も。「bajra co'u 2000 seltre／2000メートル分走ったところで止まる」「co'u bajra／走るのを止める」「.ua co'u lo nu viska je tirna mi kei le klaku cifnu cu klaku／私の姿を見、私の声を聞くと、泣く児が泣くことをやめる！」（山頭火『行乞記（二）』） ・大意： テンス： 停止 ・読み方： ショフ ・関連語： {sisti}, {fanmo}
cu	cmavo			   	CU      	selbri隔離 ： 先行の項や名辞からselbriを隔離する； 省略可能	感覚上はほぼコピュラに相当する。 ・読み方： シュ
cu'a	cmavo			   	VUhU3      	絶対値 ： 数理演算子（単一項）； [|a|]	・読み方： シュハ
cu'e	cmavo			   	CUhE      	制詞質問 ： どの制詞が当てはまるかをその箇所に置いて尋ねる	・読み方： シュヘ
cu'i	cmavo			   	CAI      	中性	心態詞（修飾系）； 尺度上の中間
cu'o	cmavo			   	MOI      	確率selbri ： 数詞を確率selbriに変換する； １（事）は２（条件）において n の確率で起こる	・読み方： シュホ
cu'u	cmavo			   	BAI      	~が言って ： cusku 法制詞, x_1	・読み方： シュフ
cy	cmavo			   	BY2      	c ： 字詞；	・読み方： シァ
da	cmavo   	-dav-   	-dza-	   	KOhA1      	量化型 sumti 変数１ ： 代詞（selbri）； 量化可能な sumti 変数の１つ目	「ro da vrici ke kampre mutce／みんなとり／″＼に人間味たつぷりだ」（山頭火『行乞記（二）』） ・大意： 某／何か／X ・読み方： ダ ・語呂合わせ： 何かだ
da'a	cmavo   	-daz-		   	PA4      	n 以外全て ： 数量詞； デフォルトは1	「da'a re prenu = 二人を除く全員」 ・大意： 以外 ・読み方： ダハ ・語呂合わせ： 我以外は打破
da'e	cmavo			   	KOhA2      	のちほど言うこと ： 代詞（sumti）； 比較的遠い時間点における発話	・読み方： ダヘ
dai	cmavo			   	UI5      	共感	心態詞（修飾系）； 先行の心態詞にたいする話者の共感／同情を表す； 話者以外の感情を表す「le lenku dilnu cu sutkla a'idai／寒い雲がいそぐ」（山頭火『行乞記（二）』） ・読み方： ダイ  ・関連語： {cnijmi}
da'i	cmavo			   	UI3      	非現実 （ da'i 非現実 - da'inai 現実）	心態詞（談話系）； 「もし~なら」「仮に～」「da'i trina lo nalglico selbangu／仮に非英語話者を惹きつけられたら」「lonu da'i la betis. klama le te salci cu vajni lenu la bil. gleki／ビルが喜ぶには、ベティがパーティに来ることが重要だった（実際には来なかった）」「lo li'i pu da'i lifri／既視体験」 ・読み方： ダヒ ・関連語： {xanri}; {da'inai}
da'inai	cmavo-compound			   	UI*3      	現実 （ da'i 非現実 - da'inai 現実）	心態詞（談話系）； 「実際～」「本当に～」「da'inai fatci nanba .i e'u ko citka／本物のパンです。どうぞ召し上がれ。」「le si'o sidju cu cinri mi .i ku'i da'inai du'eda cuntu mi／援助には興味あるけど、実際にはやることが多すぎてね」 ・読み方： ダヒナイ ・関連語： {fatci}; {da'i}
da'o	cmavo			   	DAhO      	代sumti・代selbriの指示の取り消し／リセット
dau	cmavo			   	PA2      	16進法A/10進法10 ： 数量詞；	・読み方： ダウ
da'u	cmavo			   	KOhA2      	以前言ったこと ： 代詞（sumti）；	「“それ”が本当に起こるなんて彼女には知るよしもなかった」 ・読み方： ダフ
de	cmavo			   	KOhA1      	量化型 sumti 変数２ ： 代詞（selbri）； 量化可能な sumti 変数の２つ目	・読み方： デ
de'a	cmavo			   	ZAhO      	休止 ： 相制詞；	・読み方： デハ
de'e	cmavo			   	KOhA2      	まもなく言うこと ： 代詞（sumti）；	・読み方： デヘ
de'ei	experimental cmavo			   	ROI      	左の数量詞について基準日（デフォルトは発話時点の日、「今日」）から何番目の日かを表す。	「{ni'u} de'ei／昨日」「{no} de'ei／今日」「{pa} de'ei／明日」；sumtcitaとして用いる場合、取り込んだ項は基準日を意味する。　・関連語：{zu'oi}, {djedi}
dei	cmavo			   	KOhA2      	ただいま言っていること ： 代詞（sumti）；	・読み方： デイ
de'i	cmavo			   	BAI      	～日に ： detri 法制詞, x_1	・読み方： デヒ
de'o	cmavo			   	VUhU3      	対数 ： 数理演算子（2変数）；log a 底 b (デフォルトで 10 あるいは e)	・読み方： デホ
de'u	cmavo			   	KOhA2      	さきほど言ったこと ： 代詞（sumti）；	・読み方： デフ
di	cmavo			   	KOhA1      	量化型 sumti 変数３ ： 代詞（selbri）； 量化可能な sumti 変数の３つ目	・読み方： ディ
di'a	cmavo			   	ZAhO      	再開 ： 相制詞；	・読み方： ディハ
di'e	cmavo			   	KOhA2      	つぎに言うこと ： 代詞（sumti）；	・読み方： ディヘ
di'i	cmavo			   	TAhE      	規則的に ： 相制詞（時間・間隔）；	・読み方： ディヒ
di'inai	cmavo-compound			   	TAhE*      	不規則的に ： 相制詞（時間・間隔）；	・読み方： ディヒナイ
di'o	cmavo			   	BAI      	～を局所的なものとして ： diklo 法制詞, x_1	・読み方： ディホ
di'u	cmavo			   	KOhA2      	いま言ったこと ： 代詞（sumti）；	・読み方： ディフ
do	cmavo   	-don-   	-doi-	   	KOhA3      	聞き手（話し手＆その他以外） ： 代詞（sumti）；	・大意： あなた ・読み方： ド
do'a	cmavo			   	UI3      	広義 （ do'a 広義 - do'anai 狭義）	心態詞（談話系）；「鷹揚に言えば」「広い意味では」「せいぜい」「大目に見れば」 「ti claxu lo stizu gi'e do'a relxilma'e／これ、サドルが無いけど、まあ自転車と呼んで良いだろう」 「i .y. do'a milxe plika'e／大目に見ればかろうじて使用可能」 ・読み方： ドハ ・関連語： {dunda}
do'anai	cmavo-compound			   	UI*3      	狭義 （ do'a 広義 - do'anai 狭義）	心態詞（談話系）； 「けちな言い方をすれば」「狭い意味では」「少なくとも」「ti claxu lo jabre gi'e do'anai na relxilma'e／これ、ブレーキが無いぞ、こんなの自転車とは言えない」 「i ku'i so'e skami pilno cu milxe do'anai ke glico se bangu／コンピュータ・ユーザのほとんどは、少なくとも多少の英語ができる」 ・読み方： ドハナイ
do'e	cmavo			   	BAI      	不特定法制 ： 不特定の法制（BAI）	・読み方： ドヘ
doi	cmavo			   	DOI      	呼びかけ ： 聴き手を特定しながら呼びかける； COI類が先行していれば不要	「あのう」「ねえねえ」「～さん」 ・読み方： ドイ
do'i	cmavo			   	KOhA2      	不特定の発話 ： 代詞（sumti）；	・読み方： ドヒ
do'o	cmavo			   	KOhA3      	聞き手＆その他（話し手以外） ： 代詞（sumti）；	・読み方： ドホ
do'u	cmavo			   	DOhU      	呼応系心態詞終了 ： 境界詞； 呼応系心態詞を終え、後続の sumti から隔離する； 省略可能	・読み方： ドフ
du	cmavo   	-dub-   	-du'o-	   	GOhA      	同一 ： 同一性を表す； x_1 は x_2 ・ x_3 ・・・と同一	感覚上はほぼコピュラに相当する。 「ta du lo nanmu poi mi pu tavla／あれは私が話した男（と同一）だ」。 ・大意： 同一 ・読み方： ドゥ  ・語呂合わせ： 同一のドゥ ・関連語： {mintu}, {dunli}
du'a	cmavo			   	FAhA1      	～の東方に／東側で ： 間制詞（空間・方向）；	・読み方： ドゥハ
du'e	cmavo			   	PA4      	過多 ： 数量詞；	・読み方： ドゥヘ
du'i	cmavo			   	BAI      	～が同じくらい ： dunli 法制詞, x_1	・読み方： ドゥヒ
du'o	cmavo			   	BAI      	～によると ： djuno 法制詞, x_1	・読み方： ドゥホ
du'u	cmavo   	-dum-		   	NU      	命題抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する命題を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる； x_1 は x_2 （文字列）によって表される[bridi]（命題）	・読み方： ドゥフ  ・関連語： {bridi}
dy	cmavo			   	BY2      	d ： 字詞；	・読み方： ドァ
