a	cmavo   \nA      \nlogical connective: sumti afterthought or.
alminiu	obsolete fu'ivla      \nx_1 is a quantity of/contains/is made of aluminium.\nCf. {jinme}.
alna	fu'ivla      \nx_1 is an alder (Alnus) of species x_2
alpaka	fu'ivla      \nx_1 is an alpaca (Lama pacos) of breed x_2\nCf. {kumte}
altamru	fu'ivla      \nx_1 is a date (fruit or tree) of species/variety x_2.
altare	fu'ivla      \nx_1 is an altar for rituals/ceremonies x_2\nAlso {se} {friti} {jubme}
altfor	cmevla      \nal'Thor\nLast name of the primary protagonist of the Wheel of Time series by Robert Jordan: Rand al'Thor (.rand. altfor.). See also:  {sa'ydin},  {sedais},  {acaman},  {makfa}
altrici	fu'ivla      \nx_1 is altricial, requires nourishment, a baby, infant\norganism soon after hatching or being born at such stage of development when it is incapable of moving around on its own. See also {prekoci}, {verba}, {makcu}
alxataini	fu'ivla      \nx_1 finds x_2, a zero of function x_3, by double false position in interval x_4
alzaitu	fu'ivla      \nx_1 is an olive of species/variety x_2.
ambergri	fu'ivla      \nx_1 is a quantity of ambergris of composition  x_2.
ambigu	fu'ivla      \nx_1 is ambiguous, possibly being x_2 (ka) or x_3 (ka), this being hard to x_4 (2-place ka)\nNear-synonyms: {ambigu'o}, {smuvrici}
ambigu'o	fu'ivla      \nx_1 is ambiguous, open to interpretations x_2 (plural of property of x_1)\nSee {smuni}, {sinxa}
amble	fu'ivla      \nx_1 ambles (of a horse/like a horse)
ambuci	fu'ivla      \nx_1 is ambushes/waylays for x_2
ambulance	fu'ivla      \nx_1 is an ambulance/emergency vehicle transferring  x_2 (that are ill)\nx_1 is an emergency vehicle that transports sick or injured people to a hospital. See {bilma}, {spita}
amfite'atro	fu'ivla      \nx_1 is an amphitheater, an oval or round structure having tiers of seats rising outward from a central arena\nSee {zbepi}, {stizu}
amfora	fu'ivla      \nx_1 is an amphora containing x_2
amgidala	fu'ivla      \nx_1 is an amygdala in organism x_2, with function x_3.\nAs a part of the limbic system ({menbenci'e}, {besrlimbo}), it performs a primary role in the processing and memory of emotional reactions. Cf. {besna}.
amnadiia	fu'ivla      \nx_1 is extremely awe-inspiring/amazing and possibly humbling to experiencer/observer x_2\nShouldn't be used too lightly.
amni'o	fu'ivla      \nx_1 is the amnion\nSee also {amni'ota}
amni'ota	fu'ivla      \nx_1 is an amniote\nsee also {amni'o}, {cipni}, {mabru}, {respa}
ampigravle	fu'ivla      \nx_1 is celery.\nCf. {spatrxapio}, {stagi}, {spati}.
ampute	fu'ivla      \nx_1 amputates, surgically removes x_2 from x_3 leaving remainder x_4\nSee also {vimcu}, {katna}
amsake	fu'ivla      \nx_1 is made of/contains/is an amount of amazake from x_2\nBy komfo,amonan
amtisti	fu'ivla      \nx_1 is a quantity of/contains/is made of amethyst from source x_2.\nCf. {jadni}, {jemna}, {krili}, {rokci}.
amxari	fu'ivla      \nx_1 is Amharic in aspect x_2.\ncf. {gurnrtefi}
anci	fu'ivla      \nx_1 hints, alludes, provides a clue at x_2 (object, event, numeral); x_2 is hinted\nx_1 is the object providing a clue to x_2. To specify agent perceiving the hint use {ga'a}. {lo} {nu} {anci} - 'a hint / an act of hinting'
andiroba	fu'ivla      \nx_1 is carap of species/variety x_2.
angeli	fu'ivla      \nx_1 is an angel.
angila	fu'ivla      \nx_1 is an eel of species x_2.\nsyn. {sincykaifi'e}
anji	fu'ivla      \nx_1 is a sinogram / Chinese hanzi / Japanese kanji (logogram) with meaning x_2 and radical x_3.\nSee also {lerfu}
anji'i	fu'ivla      \nx_1 admit to themselves that they x_2 (ka)\nSee also {radji'i}, {tugni}, {jinvi}, {randa}, {curmi}, {jetnu}, {jitfa}, {stace}
ankabuta	fu'ivla      \nx_1 is a spider (order Araneae) of species x_2\nMore specific than {jukni}. See {cinki}
ankla	fu'ivla      \nx_1 is an ankle\nAlso {jmacidni}
anli	fu'ivla      \nx_1 is a ring with inside diameter x_2, outside diameter x_3
anlogo	fu'ivla      \nx_1 (fa'u-separated set) is analogous to x_2 (fa'u-separated set of same size) by relation x_3 (binary ka)\nSee {ckini}, {fa'u}
anmonia	obsolete fu'ivla      \nx_1 is a quantity of / contains / is made of ammonia.\nCf. {trano}.
anseranatidai	fu'ivla      \nx_1 is a magpie goose (bird of zoological taxonomic family Anseranatidae) of species/genus/type/breed x_2
ansoptera	fu'ivla      \nx_1 is a dragonfly of species x_2.\nCf. {laxsfani}, {zgoptera}, {odnata}, {sfani}, {cinki}.
anste	fu'ivla      \nx_1 feels existential Angst\nOnly one sumti place; for expressing &quot;fear because of something&quot; use {terpa}
antagonista	fu'ivla      \nx_1 is a/the antagonist of/opposing protagonist x_2\nSee also {protagonista}, {bradi}, {fapro}.
anti'Auxeias	cmevla      \nAntioch
antika	fu'ivla      \nx_1 is ancient, antique
antilope	fu'ivla      \nx_1 is an antelope of species x_2.\nCf. {bajbakni}, {mirli}, {dorkada}.
anxinga	fu'ivla      \nx1 is an anhinga (bird) of species/subtaxon x2
anxodi	fu'ivla      \nx_1 is a anode/positive electrode.\nSee also {ionti}, {katxodi}
a'o	cmavo   \nUI1      \nattitudinal: hope - despair.\nSee also {pacna}.
a'oi	experimental cmavo   \nCOI      \nvocative: slightly piratical greetings\nSee also {xai}, {coi}, {co'oi}, {o'ai}. This is an {u'ivla} from &quot;ahoy&quot;.
a'onai	cmavo-compound   \nUI*1      \nattitudinal: hope - despair.
a'orne	fu'ivla      \nx_1 is maple of species/variety x_2.\nsyn. {ricrxacero}; see also {na'itsi}
apma	fu'ivla      \nx_1 (agent) consigns (by thought, word, or deed) x_2 (patient) to fate x_3 (abstraction)\nSo-called &quot;neutral-{dapma}&quot;; {zandapma} would be the connotationally positive form, while {dapma} would be the connotationally negative form. See {pacna}, {dimna}, {a'o}, {di'ai}
aptci	fu'ivla      \nx_1 produces the sound of sneezing x_2
arbaleta	fu'ivla      \nx_1 is a crossbow
arce	fu'ivla      \nx_1 is a maple (Acer) of species/variety x_2\nThe genus from the Linnaean name is &quot;Acer&quot;.
arco	fu'ivla      \nx_1 shows/demonstrates x_2 (object/event) to audience x_3\nWhere {jarco} is for showing/displaying a property, this word is to be used for showing/demonstrating an object.
arda	fu'ivla      \nx_1 is a heron of species x_2.\nSee also {cipni}, {nebyplovoicpi}
arkada	fu'ivla      \nx_1 is an arcade (a structure composed of a series of arches supported by columns)\nSee {bargu}
arko	fu'ivla      \nx_1 is a bow, weapon for shooting arrows x_2, propelled by string mechanism x_3\nSee also {cecla}, {xarci}, {renro}, {danti}, {arbaleta}.
arktik	cmevla      \nArctic Ocean.
armala	fu'ivla      \nx_1 is Syrian rue (Peganum) of species/variety x_2
armoraki	fu'ivla      \nx_1 is horseradish of variety x_2.\nCf. {cpinytsapi}, {kobli}, {stagnrafanu}, {snapisa}.
armori	fu'ivla      \nx_1 is a coat-of-arms symbolizing x_2\nSee also {lanci}, {blazone}
arnika	fu'ivla      \nx_1 is a quantity of arnica/wolfsbane of species/strain x_2
arpi	fu'ivla      \nx_1 is a scar on x_2\nSee also {cagna}, {xrani}, {vitno}, {pilka}, {cortu}, {kanro}, {banro}, {barna}.
arsna	fu'ivla      \nx_1 is a rhotic (phonetic) sound\nSee {zunsna}, {ra'isna}, {cimsna}, {elsna}
arte	fu'ivla      \nx_1 is a piece of artwork
artefresko	fu'ivla      \nx_1 is a fresco (painting)\nSee {arte}, {larcu}, {pixra}
artemozaiko	fu'ivla      \nx_1 is a mosaic
arteri	fu'ivla      \nx_1 is an artery
articoka	fu'ivla      \nx_1 is an artichoke of species/variety x_2
artigo	fu'ivla      \nx_1 is an newspaper / magazine / journal article containing x_2\nSee also {uencu}, {notci}
artropoda	fu'ivla      \nx_1 is an arthropod
arxetipo	fu'ivla      \nx_1 is an archetype, prototype of x_2\nx_1 is an original model of which x_2 is a derivative, copy, emulation having the same pattern. See also {tarmi}, {morna}
arxivo	fu'ivla      \nx_1 is an archive containing x_2\nSee also {sorcu}
arxokuna	fu'ivla      \nx_1 is a raccoon of species x_2\nsyn. {prokioni}, {lumge'u}
asfalte	fu'ivla      \nx_1 is asphalt/bitumen\nSee {tarla}
aski	fu'ivla      \ncharacters x_1 (ordered set of numerals) represents non-encoded x_2 (text) in ASCII\nASCII is The American Standard Code for Information Interchange is a character-encoding scheme. See {iunkoda}
asna	fu'ivla      \nx_1 is a body position/posture/stance/pose/asana of body x_2 characterized by property/(set of) properties x_3 (ka).
asnaptca	fu'ivla      \nx_1 sends snapchat x_2 to x_3.
asnrlatna	fu'ivla      \na_1 is a/the lotus position/padmasana of body a_2 characterized by property/(set of) properties a_3 (ka).\nSee also 'sitting in lotus position' (={latnytse}).
asnrmromlu	fu'ivla      \na_1 is a/the corpse position/śavāsana of body a_2 characterized by property/(set of) properties a_3 (ka).\nLying on the back, the arms and legs are spread at about 45 degrees. See also: 'lying in corpse position' (={mromluvre}).
asnrtarbi	fu'ivla      \na_1 is a/the fetal position of body a_2 characterized by property/(set of) properties a_3 (ka).\nSynonym: {tarbi zei asna}
aspekta	fu'ivla      \nx_1 is an aspect of x_2 according to observer x_3
aspekto	fu'ivla      \nx_1 is an aspect of x_2
aste	fu'ivla      \nx_1 is a star polygon/polytope, with regular protrusions x_2, and regular intrusions x_3\nSyn. {jinda}. See {tarci}, {tarmi}. (ti aste mu da) = &quot;this is a five-pointed star&quot;
astra	fu'ivla      \nx_1 is an aster/plant of Genus Aster of species x_2\nSee {xrula}
astrato	fu'ivla      \nx_1 is a grammatical abstraction of type x_2\nAll Lojban constructs can be divided either to {astrato}/{naly'astrato} or to {bridi}, {fasnu}, {selsku}, {namcu}, {dacti}, {gunma}
astro	fu'ivla      \nx_1 is a celestial body, heavenly body\n{lo} {plini} describes planets ({lo} {planeta}), dwarf planets ({lo} {jdikyplini}), asteroids ({lo} {cmaplini}). See also {kensa}, {tarci}, {solri}.
asycy'i'is	cmevla      \nASCII.
atcu	fu'ivla      \nx_1 produces the sound of sneezing x_2
atinas	cmevla      \nAthens
atkaciia	fu'ivla      \ns_1 is an acacia/thorntree/whistling thorn/wattle (genus Acacia) of species/cultivar s_2.
atku'ila	fu'ivla      \nx_1 is an eagle of type/species x_2\nCf. {cipni}
atkuuila	fu'ivla      \nx_1 is an eagle of species/breed x_2.\nCf. {cipni}.
atlete	fu'ivla      \nx_1 is an athlete
atna	fu'ivla      \nx_1 is a lotus, plant/flower/herb of species/strain x_2.\nSame as {latna} but without the cultural-related sumti x_3 and x_4.
atspiri	fu'ivla      \nx_1 is a quantity of aspirin (drug/medication)\nSee {crofanta}, {micyxu'i}
au	cmavo   \nUI1      \nattitudinal: desire - indifference - reluctance.\nSee also {djica}.
a'u	cmavo   \nUI1      \nattitudinal: interest - disinterest - repulsion.\nSee also {cinri}, {selcni}.
a'ucu'i	cmavo-compound   \nUI*1      \nattitudinal: interest - disinterest - repulsion.
aucu'i	cmavo-compound   \nUI*1      \nattitudinal: desire - indifference - reluctance.
aufklerunge	fu'ivla      \nx_1 (process/concept) is enlightenment in the sense of philosophy x_2
aunai	cmavo-compound   \nUI*1      \nattitudinal: desire - indifference - reluctance.
a'unai	cmavo-compound   \nUI*1      \nattitudinal: interest - disinterest - repulsion.
aunde	fu'ivla      \nx_1 wants x_2 to do/be x_3\nSee also {au}, {koinde}
auskalerik	cmevla      \nBasque country.
autca	fu'ivla      \nx_1 (word / me'ei-predicate / si'o-concept) means whatever speaker x_2 wants it to mean\nSee {au}, {itca}, {co'e}, {comco'e}
au'u	experimental cmavo   \nUI1      \nattitudinal: cute (attractive in an innocent way) - lack of cuteness - repulsively uncute\nSee {citmle}, {dibmle}
au'unmo	fu'ivla      \nx_1 finds/emotionally feels x_2 to be cute; x_1 feels the cuteness emotion about x_2\nThis is the &quot;squee&quot; feeling or &quot;bursting from the cuteness&quot; emotion, although it might be less intense.
au'y	experimental cmavo   \nBY      \nletteral for u when ending a diphthong (au), sometimes written as ụ
avgadro	fu'ivla      \nx_1 is Avogadro constant N_{A} [ approximately equal to: 6.02214129(27)×10^23 mol^{−1}], expressed in units x_2 in paradigm/system/metaphysics/universe x_3 (default: this, our actual, physical universe)\nSee also {plankexu}, {tcelerita}, {gravnutnoia}, {boltsemaku}, {ocnerta}, {molro}, {kamre}
avgusto	fu'ivla      \nx_1 is August in year x_2 on calendar x_3
axlte	fu'ivla      \nx_1 is an axolotl of species/breed x_2
a'y	experimental cmavo   \nBY      \nletteral for a.\nSynonymous with the original CLL definition of .{abu}.
ba	cmavo   \nPU      \ntime tense relation/direction: will [selbri]; after [sumti]; default future tense.
ba'a	cmavo   \nUI2      \nevidential: I expect - I experience - I remember.\nSee also {kanpe}, {bavykri}, {lifri}, {morji}.
ba'acu'i	cmavo-compound   \nUI*2      \nevidential: I expect - I experience - I remember.
ba'ai	experimental cmavo   \nMAI      \ndiscursive suffix: attaches to number. &quot;I expect with probability...&quot;\nTakes a number before it. &quot;pimu ba'ai&quot; = &quot;I expect with probability 0.5&quot;. See {kanpe}, {ba'a}, {lakne}, {la'a}
ba'alvi	fu'ivla      \nx_1 happens in the future; x_1 will happen\nAbsolute time reference. See also {ba'au}, {balvi}
ba'anai	cmavo-compound   \nUI*2      \nevidential: I expect - I experience - I remember.
ba'argau	lujvo      \nx_1=g_1 (agent) marks x_3=b_2 with mark(s) x_2=b_1 of material x_4=b_3.\nCf. {barna}, {gasnu}, {tcita}, {pandi}
ba'armo'a	lujvo      \nx_1=m_1 is a pattern of marks x_2=m_2=b_1 arranged according to structure x_3=m_3 on x_4=b_2 of material x_5=b_3.\nCf. {taxfu}, {jadni}, {bitmu}, {bimxra}.
ba'arpinsi	lujvo      \nb_1=p_1 is a marker applying marking material b_2=p_2, with frame/support [of material] p_3.\nCf. {barna}, {pinsi}.
ba'au	experimental cmavo   \nCUhE      \ntense: refers to future of current space/time reference absolutely\nin the future of {nau}
baba	cmavo-compound   \nPU*      \ntime tense: will be going to; (tense/modal).
babilon	cmevla      \nBabylon.
babypalne	lujvo      \np_1 is a soap dish with contents p_2 and made of material p_3.
baca'a	cmavo-compound   \nPU*      \ntime tense: future actuality; modal aspect.
baca'o	cmavo-compound   \nZAhO*      \ntime tense: will be then; (tense/modal).
bacilus	cmevla      \nbacillus (genus Bacillus), microorganism\n{jurme} is a more generic term
backemselrerkru	lujvo      \nk_1 is a hyperbola in k_2 at k_3 defined by set of points/properties k_4.
backi	experimental gismu      \nx_1 is characterized by x_2 (ka) emphasized by x_3\nUsed for emphasizing a trait on x1. For example &quot;He is a complete idiot&quot; where &quot;complete&quot; is emphasizing, but not really modifying &quot;idiot&quot;.
backla	lujvo      \nb_1=k_1 goes beyond destination b_2=k_2 from origin k_3 via route k_4 using means/vehicle k_5.\nCf. {dukse}, {kuspe}, {fa'a}.
bacru	gismu   \n-ba'u-      \nx_1 utters verbally/says/phonates/speaks [vocally makes sound] x_2.\nAlso voices; does not necessarily imply communication or audience; ('says' is usually {cusku}).  See also {krixa}, {cusku}, {casnu}, {tavla}, {voksa}, {pinka}.
bacycripu	lujvo      \nc_1 is a bridge to the beyond across c_2 between c_3=b_3 and c_4=b_1.\nPoetic coining.
bacyde'i	lujvo      \nd_1=b_1 is a tusk of d_2 protruding beyond the mouth b_3 by amount b_4
bacyxundi'e	lujvo      \nd_1 radiates/emits infrared radiation d_2 under conditions d_3.\nCf. {bacyzirdi'e}, {dirce}.
bacyxunre	lujvo      \nx_1 is infrared.
bacyzirdi'e	lujvo      \nd_1 radiates/emits ultraviolet radiation d_2 under conditions d_3.\nCf. {bacyxundi'e}, {dirce}.
badgai	lujvo      \ng_1 is a protective cover for b_2=g_2 against b_3.\nFrom {bandu} {gacri}; Cf. {santa}, {calku}, {xacysanta}, {dabycalku}.
badgau	lujvo      \ng_1 causes event b_1 which defends/protects b_2 (object/state) from threat/peril/potential b_3 (event).\nMade from {bandu} + {gasnu}.
badjamblo	lujvo      \nbl_1=ba_1 is a frigate/corvette of type/carrying bl_2, propelled by bl_3.\nCf. {bandu}, {jamna}, {bloti}, {ni'ablo}, {brabrajamblo},{brajamblo}, {cmajamblo},  {vijblo}.
badmapku	lujvo      \nx_1 is a helmet, protective cap\nSee {bandu}, {mapku}
badna	gismu      \nx_1 is a banana/plantain [fruit/plant] of species/breed x_2.\nSee also {grute}.
badnrnsete	fu'ivla      \nb_1 is a false banana/ensete [plant/fruit] of species/breed b_2.
badnygrute	lujvo      \ng_1=b_1 is a banana/plantain [fruit] of species/breed g_2=b_2.\nSee also: {badnyspa}
badnyspa	lujvo      \ns_1=b_1 is a banana/plantain [plant] of species/breed s_2=b_2.\nSee also: {badnygrute}
badri	gismu   \n-dri-      \nx_1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x_2 (abstraction).\nSee also {klaku}, {gleki}, {betri}, {cinmo}, {junri}.
badvau	lujvo      \nv_1 is a safe [secure lockable container] with contents v_2.
badycau	lujvo      \nx_1 is defenseless, vulnerable to x_2\nSee also {bandu}, {ckape}
badydi'u	lujvo      \nb_1=d_1 is a defensive building (castle, fortress etc.) for protection of b_2 from b_3 (enemies, danger).\nCf. {nolzda}, {damba}, {badbi'u}.
badzga	lujvo      \nx_1 watches over / looks out for x_2, protecting it from threat x_3
ba'e	cmavo   \nBAhE      \nforethought emphasis indicator; indicates next word is especially emphasized.
ba'ei	experimental cmavo   \nBAhEI      \nforethought emphasis indicator; indicates next WORD only, even if that word is a construct-indicating cmavo\nAccording to CLL 19.11, regular {ba'e} doesnt always emphasize just one word. If it is placed in front of a construct (e.g. {la}), it emphasizes the entire construct. {ba'ei} was designed especially for these cases.
bafcolkercrakre	lujvo      \nx_1=b_1 are sideboards/sideburns/tufts of hair under temple of x_2=kerf_2=kerl_2=c_3.\n{bakfu} {co} {kerlo} {crane} {kerfa}. The length of bafcolkercrakre is not that of a hair but that of a tuft of hair.
bagyce'a	lujvo      \nc_1=b_1 is a bow that shoots arrow c_2 from string c_3, and is made of material b_3.\nCf. {bargu}, {cecla}, {celga'a}, {xarci}.
bai	cmavo   \nBAI      \nbapli modal, 1st place (forced by)                forcedly; compelled by force ...
ba'i	cmavo   \nBAI      \nbasti modal, 1st place                            replaced by ...
bai'ei	experimental cmavo   \nVUhU3      \nunary mathematical operator: successor/augment/increment (by one), succ(a) = a++ = a+1\nSee also: {su'i} {pa}, {pau'oi}, {balvi}, {jersi}, {selyli'e}, {rebla}, {lamji}
baigle	lujvo      \nx_1 rapes x_2 // x_1 forcibly copulates with x_2\nSee {bapli}, {gletu}, {zekri}
