a	cmavo   \nA      \nлогический союз: последующая мысль в sumti: 'или'
ba'acu'i	cmavo-compound   \nUI*2      \nмеждометие-свидетельство: я ожидаю - я испытываю - я помню\nСм. также {bavykri}, {lifri}, {morji}.
ba'anai	cmavo-compound   \nUI*2      \nмеждометие-свидетельство: я ожидаю - я испытываю - я помню\nСм. также {bavykri}, {lifri}, {morji}.
ba'au	experimental cmavo   \nCUhE      \nвременной интервал: отсылает к будущему времени относительно рамок настоящего пространства/времени абсолютно\nВ будущем относительно {nau}
baba	cmavo-compound   \nPU*      \nвременной интервал: после этого будет [событие]; (интервал/модальное слово)
baca'a	cmavo-compound   \nPU*      \nвременной интервал: будущая актуальность; модальный аспект
baca'o	cmavo-compound   \nZAhO*      \nвременной интервал: будет далее; (интервал/модальное слово)
bacru	gismu   \n-ba'u-      \nx_1 произносит (вслух), издает звук x_2\nНе обязательно требуется аудитория или общение (&quot;говорит&quot; - {cusku}). См. {krixa} (кричать), {cusku} (говорить), {casnu} (обсуждать), {tavla} (разговаривать, общаться), {voksa} (голос, речь), {pinka} (комментарий, замечание).
badna	gismu      \nx_1 — банан (фрукт/растение) вида/сорта x_2\n{grute} (плод [фрукт])
badri	gismu   \n-dri-      \nx_1 печален/расстроен/подавлен/огорчен x_2 (чем, из-за чего: абстракция)\nСм. {klaku} (плакать/рыдать), {gleki} (радоваться), {betri} (трагедия), {cinmo} (эмоция), {junri} (серьезный)
ba'e	cmavo   \nBAhE      \nиндикатор эмфазы, акцента в виде последующей мысли; показывает, что следующее слово логически выделяется
bai	cmavo   \nBAI      \nмодальный предлог от bapli, 1-ое место (вынуждаемый (чем))                принуждаемо (чем); принуждаемо силой, ...
ba'i	cmavo   \nBAI      \nмодальный предлог от basti, 1-ое место                            заменённый (чем), ...
bajra	gismu   \n-baj-      \nx_1 бежит по поверхности x_2 на конечностях x_3 способом/манерой x_4\nСм. {cadzu} (идти пешком), {klama} (перемещаться), {litru} (путешествовать), {stapa} (шагать), {plipe} (прыгать), {cpare} (карабкаться).
bakfu	gismu   \n-baf-      \nx_1 — пакет/сверток/пачка/стопка/связка/пучок/гроздь предметов x_2, удерживаемых вместе при помощи x_3\n{daski} (карман), {dakli} (мешок), {tanxe} (коробка)
bakma'i	lujvo      \nx_1 - это май/5-ый месяц года x_2 по календарю x_3\nСм. {masti}, {pavrelmasti}, {nanca}
bakni	gismu   \n-bak-      \nx_1 — корова/бык/теленок вида/породы x_2\n{danlu} (животное)
baknrzebu	fu'ivla      \nx_1 - это зебу/Bos indicus вида/подвида x_2\nСм. также {bakni}
bakri	gismu      \nx_1 — мел/{известняк/мрамор} из источника x_2 в форме x_3\n{pinsi} (карандаш), {blabi} (белый), {jilka} (щелочь)
baktu	gismu      \nx_1 — бадья/ведро/лохань/ванна/корыто (сосуд с плотными стенками, с широким раствором) с содержимым x_2, из материала x_3\nСодержимое может только предполагаться, т.е. сосуд для x_2
balji	gismu      \nx_1 — луковица растения x_2\nСм. {spati} - 'растение'
balnema	fu'ivla      \nx_1 - это гладкий кит/настоящий кит/Balaenidae вида x_2\nСм. {orka}
balni	gismu      \nx_1 — балкон/уступ/карниз/козырек в здании/сооружении x_2\nСм. также {kajna} (полка)
balre	gismu   \n-ba'e-      \nx_1 — лезвие/клинок орудия/оружия x_2\n{dakfu} (нож), {tunta} (колоть), {tutci} (инструмент), {guska} (соскабливать), {kinli} (острый), {katna} (разрезать)
balvi	gismu   \n-bav-      \nx_1 происходит в будущем относительно/позже чем/после x_2; x_1 — потом, позже; x_2 — перед, раньше\nТакже: следует за, преемник; только об упорядочении во времени (иначе нужно использовать {lidne}); x_1 может перекрываться во времени с x_2, если только x_1 продолжается впоследствии; будущее в сугубом смысле: {cfabalvi}; по умолчанию x_2 — настоящее время: x_1 произойдет в будущем {lidne} (предшествовать), {cabna} (одновременно), {purci} (раньше), {farna} (направление)
bambola	fu'ivla      \nx_1 - это кукла\nСм. {kelci}
bambu	experimental gismu      \nx_1 - это бамбук (Bambuseae) рода/вида x_2.\nСр. {spati}, {tricu}.
ban	cmevla      \nбац! бах!
bancu	gismu   \n-bac-      \nx_1 находится за пределом/границей/рубежом x_2, ограничивающим x_3 по свойству/величине x_4 ({ka}/{ni})\nТакже: по ту сторону, превышает, выходит за/через, переступает пределы; по другую сторону границы, но не обязательно непосредственно «напротив» или на кратчайшем (в каком-то смысле) расстоянии (ср. {ragve}); не обязательно также речь идет о положении в пространстве {dukse} (избыток), {ragve} (напротив [по ту сторону]), {zmadu} (превосходить), {kuspe} (простираться)
bandu	gismu   \n-bad-      \nx_1 (событие) защищает/обороняет x_2 (объект/состояние) от угрозы/опасности/возможности x_3\nТакже: охраняет/предохраняет; x_1 сдерживает/сопротивляется/отбрасывает/отбивается от x_3; защитное покрытие/щит: {badgai} {ckape} (опасный), {fanta} (препятствовать [не давать произойти]), {fapro} (противостоять), {marbi} (убежище), {rivbi} (избегать [участи]), {zunti} (мешать [препятствовать]), {snura} (защищенный [в безопасности]), {binra} (страховать), {lunbe} (голый), {pulji} (полицейский)
banfi	gismu      \nx_1 — амфибия/земноводное (животное) вида/разновидности x_2\n{danlu} (животное), {respa} (рептилия)
bangu	gismu   \n-ban-   \n-bau-      \nx_1 - язык/диалект, используемый x_2 (кем: группа людей, народ и пр.) для выражения x_3 (si'o / du'u)\nязык в анатомическом смысле: см. {tance}; см. {cusku} (высказывать, сообщать), {ve} {tavla} (язык общения), {valsi} (слово), {gerna} (грамматика), {jufra} (фраза, предложение), {natmi} (народ, нация), {slaka} (слог).
banli	gismu   \n-bal-   \n-ba'i-      \nx_1 — великий/выдающийся/элитный/высший/грандиозный по свойству x_2 ({ka}) относительно стандарта x_3\nОтносится к субъективному величию, в отличие от объективного стандарта, предполагаемого в {barda}; синонимы, возможно, требующие tanru: великолепный, впечатляющий, внушительный, величественный, роскошный (все, в основном, [zabna]); ужасный, чудовищный ([mabla]) {barda} (большой), {nobli} (аристократ), {se} {sinma} (уважать), {pluja} (сложный [замысловатый]), {misno} (известный), {vajni} (важный [имеющий значение]), {fasnu} (происходить [случаться]), {cizra} (странный), {traji} (самый), {mutce} (очень), {se} {manci} (изумленный)
banro	gismu   \n-ba'o-      \nx_1 растет/расширяется, приближаясь/стремясь к размеру/форме x_2 от/из x_3 (исходный размер/форма)\nТакже: увеличивается, растягивается, развивается {farvi} (развиваться), {zenba} (возрастать), {jmina} (добавлять), {barda} (большой), {makcu} (зрелый), {ferti} (плодородный)
banxa	gismu   \n-bax-      \nx_1 — банк, находящийся в собственности/банковской системе x_2, выполняющий банковские функции x_3 (событие)\n{sorcu} (запас), {zarci} (рынок), {canja} (обменивать), {kagni} (фирма)
banzu	gismu   \n-baz-      \nx_1 (объект) достаточен для цели x_2 в условиях x_3\nТакже: хватает, довольно {dukse} (избыток), {claxu} (без), {nitcu} (нуждаться), {ricfu} (богатый), {curmi} (разрешать [позволять])
ba'o	cmavo   \nZAhO      \nконтур интервала события: после окончания (чего) ...; с тех пор, как ...; перфект              |     |----
bapli	gismu   \n-bap-   \n-bai-      \nx_1 (сила: {ka}) заставляет/вынуждает произойти событие x_2; x_1 заставляет проявиться свойство x_2\nСущественна результативность, в отличие от физического термина «сила» (лучше {danre}) {fanta} (препятствовать [не давать произойти]), {rinju} (удерживаться [от чего-либо]), {jimte} (граница), {jitro} (контролировать), {rinka} (причина [физическая]), {krinu} (резон), {zukte} (действовать), {randa} (уступать), {danre} (давить), {bai}, {marxa} (мять), {tinsa} (жесткий), {xarnu} (сопротивляться [противостоять])
bapu	cmavo-compound   \nPU*      \nвременной интервал: будет после/будет иметь произошедшим ранее; (интервал/модальное слово)
barda	gismu   \n-bra-      \nx_1 — большой/крупный по свойству/измерени(ю/ям) x_2 ({ka}) по сравнению со стандартом/нормой x_3\n{banli} (великий), {clani} (длинный), {ganra} (широкий), {condi} (глубокий), {plana} (пухлый), {cmalu} (маленький), {rotsu} (толстый), {banro} (расти), {xanto} (слон)
bargu	gismu   \n-bag-      \nx_1 — арка/свод над x_2, из матерала x_3; x_1 нависает над x_2\nx_2 м.б. не только объект, но и точка или объем {cripu} (мост), {kruvi} (изгиб), {korcu} (изогнутый), {condi} (глубокий)
barja	gismu      \nx_1 — таверна/бар/кабак, где подают x_2 (что) клиентам/посетителям x_3 (кому)\n{gusta} (ресторан), {birje} (пиво), {jikru} (крепкий спиртной напиток), {sanmi} (трапеза), {vanju} (вино), {xotli} (гостиница), {ckafi} (кофе), {se} {pinxe} (пить)
barna	gismu   \n-ba'a-      \nx_1 — пятно/пятна на x_2 из вещества x_3\nУзор из пятен: {ba'armo'a} {sinxa} (символ), {pixra} (картина), {se} {ciska} (писать), {se} {prina} (отпечаток)
bartu	gismu   \n-bar-      \nx_1 находится снаружи/вне x_2\n{jibni} (близко), {nenri} (внутри), {sruri} (оркужать), {lamji} (смежный), {korbi} (край), {calku} (панцирь), {vasru} (содержать)
basna	gismu      \nx_1 акцентирует/выделяет/подчеркивает x_2 действием x_3\nТакже: говорит убедительно {pandi} (расставлять [знаки препинания])
basti	gismu   \n-bas-      \nx_1 заменяет/замещает/является заменой x_2 в условиях x_3; x_1 — заменитель x_2\nТакже: x_1 меняется местами с x_2 {ba'i}, {binra} (страховать)
batci	gismu   \n-bat-      \nx_1 кусает/щиплет x_2 (кого/что) в/за x_3 (участок) x_4 (чем)\nПрокусывать: {ka'arbatci}, {batygre}; щипать: {cinzybatci} {denci} (зуб), {jgalu} (коготь), {guska} (соскабливать), {citka} (есть)
batke	gismu      \nx_1 — кнопка/пуговица/головка/набалдашник/{ручка} на предмете x_2, предназначенная для x_3, сделанная из материала x_4\n{jadni} (украшать [деятельный процесс]), {balji} (клубень), {punji} (класть), {jgari} (держать), {lasna} (прикреплять)
bau	cmavo   \nBAI      \nмодальный предлог от bangu, 1-ое место                            на языке, ...
ba'u	cmavo   \nUI3      \nмеждометие-рассуждение: преувеличение - точность - недооценивание\nСм. также {satci}, {dukse}.
ba'ucu'i	cmavo-compound   \nUI*3      \nмеждометие-рассуждение: преувеличение - точность - недооценивание\nСм. также {satci}, {dukse}.
ba'unai	cmavo-compound   \nUI*3      \nмеждометие-рассуждение: преувеличение - точность - недооценивание\nСм. также {satci}, {dukse}.
bavmi	gismu      \nx_1 — ячмень (зерна) вида/сорта x_2\n{gurni} (зерно)
baxso	gismu      \nx_1 — малайско-индонезийский (бахаса) в аспекте x_2\n{meljo} (малайский), {bindo} (индонезийский)
be	cmavo   \nBE      \nsumti-ссылка для присоединения sumti (по умолчанию x_2) к selbri; используется в описаниях; образовывает новый selbri из существующего путем добавления к нему sumti        Пример: {nelci} означает &quot;любить/предпочитать&quot;. Добавление {be} с sumti {lo cukta} образовывает новый selbri {nelci be lo cukta}, который означает &quot;любить книги&quot;. Соответственно, {lo nelci be lo cukta} будет означать &quot;книголюб&quot;. К selbri можно прикреплять более одного sumti. Следующие после {be} sumti прикрепляются с помощью {bei}. Завершается цепочка {be}...{bei}...{bei} терминатором {be'o}
be'a	cmavo   \nFAhA1      \nотношение/направление интервала местоположения; к северу от
bebna	gismu   \n-beb-      \nx_1 поступает/ведет себя/выглядит глупо в событии/действии/свойстве ({ka}) x_2; x_1 — дурак/глупец\n{fenki} (сумасшедший), {xajmi} (смешной), {prije} (умный), {fliba} (терпеть неудачу)
be'e	cmavo   \nCOI      \nзвательная частица: запрос, чтобы отправить/говорить
bei	cmavo   \nBEI      \nотделяет несколько связанных sumti внутри selbri; используется в описаниях
be'i	cmavo   \nBAI      \nмодальный предлог от benji, 1-ое место (отправитель)                   посланный (кем), ...
bekpi	experimental gismu      \nx_1 - это спина тела x_2 (кого)\nНе обязательное должна находится в задней части организма. Определяется двусторонней симметрией организма. См. также {vente}, {trixe}, {cutne}.
bemro	gismu   \n-bem-   \n-be'o-      \nx_1 — североамериканский в аспекте x_2\n{merko} (американский [США]), {kadno} (канадский), {xispo} (латиноамериканский), {mexno} (мексиканский)
bende	gismu   \n-bed-   \n-be'e-      \nx_1 — команда/группа/отряд/коллектив лиц x_2, возглавляемая/ведомая x_3 (кем), организованная с целью x_4\nx_1 — масса; x_2 — полностью описанное множество; Также: оркестр: {zgibe'e}, {balzgibe'e}, организация, учреждение; x_3 — дирижер; фирма: {cajbe'e}, {venbe'e} {gunma} (масса [единое целое]), {girzu} (группа), {dansu} (танцевать), {jatna} (лидер), {jitro} (контролировать), {kagni} (фирма), {kamni} (комиссия [комитет]), {minde} (командовать), {ralju} (главный), {cecmu} (сообщество [организмов]), {gidva} (вести [направлять/быть лидером])
bengo	gismu   \n-beg-      \nx_1 — бенгальский в аспекте x_2\n{xindo} (хинди)
benji	gismu   \n-bej-   \n-be'i-      \nx_1 передает/посылает x_2 (сообщение/груз) получателю/приемнику x_3 с передатчика/источника x_4 посредством (носителя/среды) x_5\nТакже: делится, распространяет; не предполагается (полное) отчуждение от источника/ x_5 - носитель. См. также {muvdu} (двигаться), {dunda} (давать), {mrilu} (посылать), {nirna} (нерв), {xruti} (возвращать), {cradi} (радио), {tivni} (телевещание), {preja} (простираться [до чего-либо]), {be'i}, {bevri} (нести), {mrilu} (посылать), {tcana} (станция)
be'o	cmavo   \nBEhO      \nопускаемый терминатор: оканчивает связанную sumti в специфическом поисании
bergu	experimental gismu      \nx_1 относится к метафизике 'вязкого медведя' в аспекте x_2\nСм. http://mw.lojban.org/index.php?title=jbocre:_Bear_goo
bersa	gismu   \n-bes-   \n-be'a-      \nx_1 — сын матери/отца/родителей x_2 (не обязательно биологический)\n{verba} (ребенок), {nanla} (мальчик), {nakni} (самец), {nanmu} (мужчина), {patfu} (отец), {mamta} (мать), {bruna} (брат), {rirni} (родитель), {rorci} (порождать), {panzi} (потомок), {tixnu} (дочь)
berti	gismu   \n-ber-      \nx_1 находится к северу (полюс, определяемый по правилу буравчика/правой руки) от x_2 согласно системе отсчета x_3\n{snanu} (юг), {stici} (запад), {stuna} (восток), {farna} (направление)
besna	gismu   \n-ben-      \nx_1 — мозг (часть тела) x_2\nМетафора: разум, центр управления {menli} (разум), {stedu} (голова), {rango} (орган [тела]), {pensi} (думать)
betfu	gismu   \n-bef-   \n-be'u-      \nx_1 — живот/брюхо/нижняя часть туловища (часть тела) x_2\nМетафора: среднее сечение; желудок: {djaruntyrango}, пищеварительный тракт: {befctirango}, {befctirangyci'e} {cutne} (торс), {livga} (печень), {canti} (кишки)
betka	experimental gismu      \nx_1 - это свёкла/свекла вида/разновидности x_2.
betri	gismu   \n-bet-      \nx_1 (событие) есть беда/несчастье/трагедия для x_2\n{badri} (грустный), {xlali} (плохой), {morsi} (мертвый), {binra} (страховать)
be'u	cmavo   \nUI5      \nмодификатор междометия: нехватка/нужда - наличие/удовлетворение - пресыщение\nСм. также {claxu}, {nitcu}, {mansa}.
be'ucu'i	cmavo-compound   \nUI*5      \nмодификатор междометия: нехватка/нужда - наличие/удовлетворение - пресыщение\nСм. также {claxu}, {nitcu}, {mansa}.
be'unai	cmavo-compound   \nUI*5      \nмодификатор междометия: нехватка/нужда - наличие/удовлетворение - пресыщение\nСм. также {claxu}, {nitcu}, {mansa}.
bevri	gismu   \n-bev-   \n-bei-      \nx_1 несет/переносит/перевозит/транспортирует груз x_2 в x_3 (куда) из x_4 (откуда) по маршруту/пути x_5\nПредполагается отчуждение от x_4 в пользу x_3 {marce} (транспорт), {muvdu} (двигаться), {benji} (передавать [сигнал]), {klama} (перемещаться)
bi	cmavo   \n-biv-   \nPA1      \nцифра/число: 8 (цифра) [восемь]
bi'a	experimental cmavo   \nUI3a      \nиндикатор эмфазы, логического ударения; показывает, что предыдущее слово логически выделяется\nЭквивалент {ba'e}, но в классе UI. См. также {ba'e}
bi'anfu	fu'ivla      \nx_1 - это летучая мышь (порядок Chiroptera) вида x_2\nСм. {mabru}, {vofli}
bicysakta	lujvo      \nx_1=s_1 - это мёд с цветка x_2=s_2 состава x_3=s_3.\n{bifce} {sakta}
bidju	gismu      \nx_1 — бусина/бисер (форма) из материала x_2\n{bolci} (шар), {canre} (песок), {lakse} (воск), {dirgo} (капля)
bi'e	cmavo   \nBIhE      \nставится как префикс к mex-оператору, чтобы указать на более высокий приоритет
bifce	gismu   \n-bic-      \nx_1 — пчела/оса/шершень/шмель вида/породы x_2\n{cinki} (насекомое), {sfani} (муха), {lakse} (воск)
bi'i	cmavo   \n-biz-   \nBIhI      \nсоюз для не-логического интервала: неупорядоченно между ... и ...
biki'o	cmavo-compound   \nPA*      \nчисло/количество: 8,000, выражается с помощью запятой
bikla	gismu   \n-bik-      \nx_1 дергается/бьется/трепещет (внезапное резкое движение)\n{skori} (веревка), {darxi} (ударять)
bilga	gismu   \n-big-      \nx_1 должен/обязан быть/делать x_2 в соответствии с соглашением/договором/стандартом x_3\n{zifre} (свободный), {fuzme} (отвечать [быть ответственным])
bilma	gismu   \n-bi'a-      \nx_1 болен, с симптомами x_2 болезни/заболевания x_3\n{kanro} (здоровый [не больной]), {mikce} (лечить), {spita} (больница), {senci} (чихать), {kafke} (кашлять), {binra} (страховать)
bilni	gismu   \n-bil-      \nx_1 относится/принадлежит к военной/военизированной/{жестко организованной} системе x_2 с целью/назначением x_3\nТакже: ополчение/дружина; «боец» в самом широком смысле — не ограничивается армией для защиты государства:{bilpre} {jenmi} (армия) для вооруженных сил, {sonci} (солдат), {ganzu} (организовывать [упорядочивать]), {pulji} (полицейский)
bimei	cmavo-compound   \nMOI*      \nselbri-количественная частица: превращает 8 в количественное selbri; x_1 это множество-октет с членами x_2
bimoi	cmavo-compound   \nMOI*      \nколичественная selbri: преобразует 8 в порядковую selbri; x_1 - восьмой среди x_2, упорядочиваемых по правилу x_3
bindo	gismu   \n-bid-      \nx_1 — индонезийский в аспекте x_2\n{bindo} (индонезийский), {meljo} (малайский), {baxso} (бахаса)
bino	cmavo-compound   \nPA*      \nчисло/количество: 80 [восемьдесят]
binono	cmavo-compound   \nPA*      \nчисло/количество: 800 [восемьсот]
binonovo	cmavo-compound   \nPA*      \nчисло/количество: 8004, без запятой-разделителя
binra	gismu      \nx_1 страхует/гарантирует x_2 (лицо) от риска x_3 (событие), предоставляя компенсацию x_4 (событие)\nx_3 также: потери; продавать страховку: {binryve'u}, страховая премия: {binrydi'a}, {binryvelve'u} {bandu} (защищать), {cirko} (терять), {betri} (беда), {basti} (заменять), {bilma} (больной)
binxo	gismu   \n-bix-   \n-bi'o-      \nx_1 преображается/трансформируется/превращается в x_2 в условиях x_3; x_1 становится/делается x_2 (чем)\nРезультативное изменение: наличие деятеля не подразумевается {cenba} (изменчивый [в свойстве]) для нерезультативного изменения, {galfi} (изменять) для изменения под внешним воздействием, {stika} (регулировать) для нерезультативного изменения при наличии деятеля; {zasni} (временный)
bi'o	cmavo   \nBIhI      \nсоюз для не-логического интервала: упорядоченно от ... к ...
biorka	obsolete fu'ivla      \nx_1 - это берёза вида x_2.\nСм. {tricu}
birje	gismu      \nx_1 — пиво/брага, сваренное из x_2\n{pinxe} (пить), {barja} (бар), {jikru} (крепкий спиртной напиток), {vanju} (вино), {xalka} (алкоголь), {fusra} (гнить)
birka	gismu   \n-bir-      \nx_1 — рука (часть тела) x_2\nЛокоть: {bircidni}, запястье: {xanterjo'e}, Также: придаток (но предпочтительнее {jimca}, {rebla}) {jimca} (ветвь), {janco} (плечо [часть тела]), {xance} (кисть [руки]), {rebla} (хвост)
birti	gismu   \n-bit-      \nx_1 уверен/убежден, что x_2 ({du'u}) верно\n{jetnu} (истина), {jinvi} (считать [полагать]), {krici} (верить), {djuno} (знать), {senpi} (сомневаться), {sruma} (допускать [предполагать])
bisli	gismu   \n-bis-      \nx_1 — лед (замерзшие кристаллы) состава/вещества x_2\nx_2: в состав входит x_2 (не обязательно полное описание состава) {kunra} (минерал), {runme} (плавиться), {lenku} (холодный), {krili} (кристалл), {bratu} (град [осадок]), {snime} (снег), {carvi} (дождь)
bitmu	gismu   \n-bim-   \n-bi'u-      \nx_1 — стена/забор/изгородь/{ширма/перегородка}, разделяющая x_2 и x_3 (порядок неважен) в сооружении x_4\n{jbini} (между), {sepli} (отделенный), {fendi} (делить [разделять]), {canko} (окно), {drudi} (крыша), {kumfa} (комната), {loldi} (пол [дно]), {senta} (слой), {snuji} (прослойка), {pagre} (проникать [проходить сквозь]), {gacri} (покрывать [в качестве крышки]), {kuspe} (простираться), {marbi} (убежище), {vorme} (дверь)
bi'u	cmavo   \nUI3a      \nмеждометие-рассуждение: новая представляемая информация - ранее представленная информация\nСм. также {nindatni}, {saurdatni}.
bi'unai	cmavo-compound   \nUI*3      \nмеждометие-рассуждение: новая представляемая информация - ранее представленная информация\nСм. также {nindatni}, {saurdatni}.
bivmasti	lujvo      \nx_1 это август/8-ой месяц года x_2 по календарю x_3\nСм. {pavmasti}, {nanca}
blabi	gismu   \n-lab-      \nx_1 — белый/очень светло окрашенный (о цвете); x_1 белеет\nБледные оттенки других цветов образуются словосочетаниями с [blabi], напр. розовый: {labyxu'e}, {xunblabi}, тогда как «бледный» в смысле «тусклый, малоинтенсивный» будет {kandi} {skari} (иметь цвет), {xekri} (черный), {grusi} (серый [цвет]), {kandi} (тусклый), {manku} (темный), {carmi} (интенсивный), {bakri} (мел), {blanu} (синий), {bunre} (коричневый), {cicna} (бирюзовый), {crino} (зеленый), {narju} (оранжевый), {nukni} (пурпурный), {pelxu} (желтый), {xunre} (красный), {zirpu} (сиреневый)
