ba'a-	barna
da'o-	darno
dap-	dapma
dar-	darno
das-	dasni
dat-	drata
da'u-	danlu
dau-	darlu
dav-	da
dax-	darxi
daz-	da'a
de'a-	denpa
deb-	dembi
dec-	decti
deg-	degji
de'i-	denci
dei-	djedi
dej-	dejni
dek-	dekto
del-	delno
dem-	denmi
den-	denci
de'o-	delno
dep-	denpa
der-	dertu
des-	desku
det-	detri
de'u-	dertu
di'a-	jdima
dib-	dirba
dic-	dikca
di'e-	dirce
dig-	dirgo
di'i-	jdini
dij-	dinju
dik-	dikni
dil-	dilnu
dim-	dimna
din-	jdini
di'o-	dinko
dir-	dicra
di'u-	dinju
diz-	dizlo
dja-	cidja
dje-	djedi
dji-	djica
djo-	sadjo
dju-	sidju
doi-	do
do'i-	donri
don-	do
do'o-	dotco
dor-	donri
dot-	dotco
dra-	drani
dre-	derxi
dri-	badri
dro-	cidro
dru-	drudi
du'a-	dunda
dub-	du
dud-	dunda
du'e-	dukse
dug-	dugri
du'i-	dunli
duj-	dunja
duk-	dunku
dul-	jduli
dum-	du'u
dun-	dunli
du'o-	du
dur-	dunra
dus-	dukse
dut-	dukti
du'u-	dunku
dza-	da
dze-	dzena
dzi-	dizlo
dzu-	cadzu
fa'a-	farna
fac-	fatci
fad-	fadni
fa'e-	fatne
fag-	fagri
fa'i-	facki
fai-	fatri
fak-	facki
fal-	farlu
fam-	fanmo
fan-	falnu
fa'o-	fanmo
fap-	fapro
far-	farna
fas-	fraso
fat-	fatne
fa'u-	farlu
fau-	fasnu
fav-	farvi
fax-	fraxu
faz-	fanza
fe'a-	fenra
feb-	febvi
fed-	fendi
feg-	fengu
fei-	fepni
fe'i-	fetsi
fek-	fenki
fem-	femti
fen-	fenso
fe'o-	fenso
fep-	fepni
fer-	fenra
fes-	festi
fet-	fetsi
fe'u-	fengu
fi'a-	cfika
fic-	frica
fi'e-	finpe
fig-	figre
fi'i-	finti
fik-	cfika
fil-	frili
fin-	finti
fi'o-	friko
fip-	finpe
fir-	flira
fis-	filso
fit-	friti
fi'u-	cfipu
fla-	flalu
fle-	flecu
fli-	fliba
flo-	foldi
flu-	fulta
fo'a-	fo'a
fo'e-	fo'e
fo'i-	fo'i
foi-	foldi
fom-	fonmo
fon-	fonxa
fo'o-	fonmo
fra-	frati
fre-	ferti
fri-	lifri
fro-	forca
fru-	frumu
fu'a-	funca
fu'e-	fuzme
fu'i-	fukpi
fuk-	fukpi
ful-	fulta
fun-	funca
fur-	fusra
fuz-	fuzme
ga'a-	grana
gac-	gapci
gad-	gadri
ga'e-	ganse
gaf-	galfi
gai-	gacri
ga'i-	galfi
gal-	galtu
gan-	ganra
ga'o-	ganlo
gap-	gapru
gar-	garna
gas-	ganse
gat-	gasta
ga'u-	galtu
gau-	gasnu
gax-	ganxo
gaz-	ganzu
ge'a-	gerna
gei-	gleki
gej-	genja
gek-	gleki
gen-	gerna
ge'o-	gento
ger-	gerku
get-	gento
ge'u-	gerku
gex-	genxu
gi'a-	gidva
gic-	glico
gid-	gidva
gi'e-	zgike
gig-	gigdo
gik-	ginka
gim-	gismu
gin-	jgina
gi'o-	gigdo
gir-	girzu
git-	jgita
gi'u-	gismu
gla-	glare
gle-	gletu
gli-	glico
glu-	gluta
goc-	gocti
got-	gotro
gra-	grake
gre-	pagre
gri-	girzu
gru-	gurni
gu'a-	gunka
gub-	gubni
guc-	gutci
gud-	gundi
gu'e-	gugde
gug-	gugde
gu'i-	gusni
guk-	guska
gum-	gunma
gun-	gunka
gu'o-	gunro
gur-	gunro
gus-	gusni
gut-	gunta
guz-	guzme
ja'a-	jatna
jab-	janbe
jac-	djacu
jad-	jadni
ja'e-	jalge
jaf-	jamfu
jag-	jalge
ja'i-	jadni
jai-	jgari
jaj-	jmaji
jak-	jarki
jal-	janli
jam-	jamna
jan-	janco
ja'o-	jarco
jap-	jaspu
jar-	jdari
jas-	jansu
jat-	janta
jau-	djacu
ja'u-	jgalu
jav-	ja
jax-	jai
jba-	jbari
jbe-	jbena
jbi-	jibni
jbo-	lojbo
jbu-	jubme
jda-	lijda
jde-	kajde
jdi-	jdice
jdu-	jduli
je'a-	jecta
jec-	jecta
jed-	jendu
je'e-	jetce
jef-	jeftu
jeg-	jegvo
jei-	jenmi
je'i-	jersi
jel-	jelca
jem-	jenmi
jen-	jenca
je'o-	jegvo
jer-	jbera
jes-	jesni
jet-	jetnu
je'u-	jetnu
jev-	je
jex-	jerxo
jez-	jei
jga-	jganu
jge-	jgena
jgi-	jgira
ji'a-	jinga
jib-	jibri
jic-	jimca
ji'e-	jmive
jif-	jitfa
jig-	jinga
ji'i-	jinvi
jij-	jijnu
jik-	jikca
jil-	jilka
jim-	jinme
jin-	djine
ji'o-	jipno
jip-	jipno
jir-	jinru
jis-	jinsa
jit-	jimte
ji'u-	jvinu
jiv-	jinvi
jiz-	jinzi
jma-	jamfu
jme-	jemna
jmi-	jimpe
jo'e-	jorne
joi-	joi
jol-	joi
jom-	jo'e
jon-	jorne
jo'o-	jordo
jor-	jordo
jo'u-	jo'u
jov-	jo
ju'a-	jufra
jub-	jubme
jud-	jundi
ju'e-	julne
juf-	jufra
jug-	jungo
ju'i-	jundi
juk-	jukni
jul-	junla
jum-	jurme
jun-	djuno
ju'o-	djuno
jup-	jukpa
jur-	junri
jus-	jursa
jut-	jutsi
juv-	ju
jux-	juxre
jva-	javni
jve-	je
jvi-	jivna
jvo-	lujvo
ka'a-	katna
kab-	karbi
kac-	kancu
kad-	kandi
ka'e-	kakne
kaf-	ckafi
kag-	kagni
kai-	ckaji
ka'i-	krati
kaj-	kanji
kak-	klaku
kal-	kanla
kam-	ka
kan-	kansa
ka'o-	kanro
kap-	skapi
kar-	kalri
kas-	kalsa
kat-	kalte
kau-	kampu
ka'u-	kantu
kav-	kavbu
kax-	kanxe
ke'a-	kevna
kec-	kecti
ke'e-	ke'e
ke'i-	kecti
kei-	kelci
kej-	ckeji
kel-	kelci
kem-	ke
ken-	kenra
ke'o-	kelvo
kep-	ke'e
ker-	kerlo
kes-	kensa
ket-	ketco
ke'u-	krefu
kev-	kevna
kez-	kei
ki'a-	krixa
kib-	kibro *
kic-	kicne
ki'e-	kicne
ki'i-	ckini
kij-	kijno
kik-	ckiku
kil-	kinli
kin-	skina
ki'o-	kilto
kir-	ckire
kis-	kisto
kit-	kliti
ki'u-	krinu
kix-	krixa
kla-	klama
kle-	klesi
kli-	klina
klo-	diklo
klu-	kulnu
ko'a-	kojna
kob-	kobli
ko'e-	kolme
ko'i-	kobli
koi-	korbi
koj-	kojna
kok-	korka
kol-	kolme
kom-	komcu
kon-	konju
ko'o-	skoto
kor-	korbi
kos-	kosta
kot-	skoto
ko'u-	konju
kra-	krasi
kre-	kerfa
kri-	krici
kro-	korcu
kru-	kruvi
ku'a-	kumfa
kub-	kubli
kuc-	kruca
ku'e-	kuspe
kuf-	kufra
ku'i-	kurji
kuj-	kurji
kuk-	kukte
kul-	ckule
kum-	kumfa
kun-	kunra
ku'o-	skuro
kup-	kuspe
kur-	kurfa
kus-	kusru
kut-	kunti
ku'u-	ckunu
kuz-	ku'a
la'a-	lasna
lab-	blabi
lac-	lacri
lad-	ladru
la'e-	lakne
laf-	lafti
lag-	vlagi
lai-	klani
la'i-	lamji
laj-	klaji
lak-	lakse
lal-	lanli
lam-	lamji
lan-	lanme
la'o-	latmo
lap-	lacpu
lar-	larcu
las-	slasi
lat-	mlatu
lau-	cladu
la'u-	lalxu
lax-	lanxe
laz-	lanzu
le'a-	lebna
leb-	lebna
lec-	lerci
led-	mledi
lei-	klesi
le'i-	pleji
lej-	pleji
lek-	lenku
lem-	le'e
len-	lenjo
le'o-	lenjo
ler-	lerfu
let-	gletu
le'u-	lerfu
li'a-	cliva
lib-	libjo
lic-	litce
lid-	lindi
li'e-	lidne
lif-	lifri
lig-	sligu
li'i-	linji
lij-	linji
lik-	litki
lil-	livla
lim-	limna
lin-	linsi
li'o-	linto
lir-	clira
lis-	lisri
lit-	clite
li'u-	litru
liv-	cliva
lix-	plixa
liz-	li'i
lob-	lojbo
lo'i-	bloti
loi-	loldi
loj-	logji
lol-	loldi
lom-	lo'e
lo'o-	slovo
lor-	lorxu
lot-	bloti
lo'u-	lorxu
lov-	slovo
lu'a-	pluta
lub-	lunbe
lu'e-	klupe
lu'i-	lumci
luj-	pluja
lum-	lumci
lun-	mluni
lu'o-	lubno
lup-	klupe
lur-	lunra
lus-	lunsa
lut-	pluta
luv-	lujvo
luz-	kluza
ma'a-	cmana
mab-	mabru
mac-	manci
mad-	marde
ma'e-	marce
maf-	makfa
mag-	margu
mai-	marji
ma'i-	masti
maj-	marji
mak-	maksi
mal-	mabla
mam-	mamta
man-	manku
ma'o-	cmavo
map-	mapku
mar-	manri
mas-	malsi
mat-	mapti
ma'u-	makcu
mau-	zmadu
mav-	mavji
max-	marxa
me'a-	mleca
meb-	mebri
mec-	mleca
me'e-	cmene
meg-	megdo
mei-	mei
me'i-	mensi
mej-	meljo
mek-	mekso
mel-	melbi
mem-	mei
men-	menli
me'o-	mekso
mer-	merko
mes-	mensi
met-	mentu
me'u-	mentu
mex-	mexno
mi'a-	cmila
mib-	mi
mic-	mikce
mid-	minde
mi'e-	minde
mif-	mifra
mi'i-	minji
mij-	midju
mik-	mikri
mil-	milti
mim-	cmima
min-	jmina
mi'o-	misno
mip-	mipri
mir-	minra
mis-	misno
mit-	mintu
mi'u-	mintu
miv-	jmive
mix-	mixre
mla-	mlana
mle-	melbi
mli-	milxe
mlo-	molki
mlu-	simlu
mo'a-	morna
mob-	mo'a
moc-	mokca
moi-	moi
mo'i-	morji
moj-	morji
mol-	moklu
mom-	moi
mon-	morna
mo'o-	molro
mor-	morko
mos-	mosra
mo'u-	moklu
mov-	mo'i
mra-	marbi
mre-	merli
mri-	mrilu
mro-	morsi
mru-	mruli
mu'a-	murta
muc-	smuci
mud-	mudri
mu'e-	munje
muf-	mu'e
mu'i-	mukti
muj-	munje
muk-	mukti
mul-	mulno
mum-	mu
mun-	smuni
mu'o-	mulno
mup-	mupli
mur-	murta
mus-	muslo
mut-	mucti
mu'u-	muvdu
muv-	muvdu
muz-	muzga
na'a-	nanca
nab-	nanba
nac-	namcu
nad-	nandu
na'e-	natfe
naf-	natfe
nag-	narge
na'i-	nalci
nai-	natmi
naj-	narju
nak-	nakni
nal-	na'e
nam-	nabmi
nan-	snanu
na'o-	cnano
nar-	na
nat-	natmi
na'u-	namcu
nau-	nanmu
nav-	nanvi
nax-	naxle
naz-	nazbi
neb-	cnebo
nei-	nelci
ne'i-	nenri
nel-	nelci
nem-	cnemu
nen-	nejni
ne'o-	cnebo
ner-	nenri
ne'u-	cnemu
ni'a-	cnita
nib-	nibli
nic-	cnici
nid-	snidu
ni'e-	nilce
ni'i-	nibli
nik-	nikle
nil-	ni
nim-	ninmu
nin-	cnino
ni'o-	cnino
nip-	snipa
nir-	nirna
nis-	cnisa
nit-	cnita
ni'u-	ninmu
niv-	nivji
nix-	nixli
no'e-	no'e
no'i-	nobli
noi-	notci
nol-	nobli
non-	no
nor-	no'e
not-	notci
nu'a-	snura
nu'e-	nupre
nu'i-	nutli
nuj-	snuji
nuk-	nukni
nul-	nutli
num-	nurma
nun-	nu
nu'o-	nu'o
nup-	nupre
nur-	snura
nut-	snuti
nuz-	nuzba
pa'a-	pacna
pab-	parbi
pac-	palci
pad-	pandi
pa'e-	prane
paf-	patfu
pag-	pagbu
pai-	pajni
pa'i-	prami
paj-	spaji
pak-	palku
pal-	prali
pam-	prami
pan-	panci
pa'o-	panlo
pap-	panpi
par-	cpare
pas-	pastu
pat-	pante
pau-	pagbu
pa'u-	patfu
pav-	pa
pax-	patxu
paz-	panzi
pe'a-	preja
peb-	penbi
pec-	pencu
ped-	pendo
pe'i-	penmi
pei-	pensi
pej-	preja
pel-	pelxu
pem-	pemci
pen-	penmi
pe'o-	pendo
per-	perli
pes-	pensi
pet-	petso
pe'u-	pencu
pev-	pe'a
pex-	pesxu
pez-	pezli
pi'a-	pilka
pib-	plibu
pic-	picti
pid-	pindi
pi'e-	plipe
pif-	pinfu
pi'i-	pilji
pij-	prije
pik-	pinka
pil-	pilka
pim-	pimlu
pin-	pinta
pi'o-	pipno
pip-	plipe
pir-	pixra
pis-	pinsi
pit-	plita
pi'u-	pimlu
piv-	pi'u
pix-	pinxe
piz-	pi
pla-	platu
ple-	pelji
pli-	pilno
plo-	polje
plu-	daplu
po'a-	spoja
po'e-	ponse
pof-	spofu
po'i-	porpi
poi-	porsi
poj-	spoja
pol-	polno
pon-	ponjo
po'o-	ponjo
pop-	porpi
por-	porsi
pos-	ponse
pot-	porto
po'u-	spofu
pra-	cupra
pre-	prenu
pri-	prina
pro-	fapro
pru-	purci
pu'a-	pluka
puc-	pulce
pud-	purdi
pu'e-	pulce
pu'i-	punji
puj-	punji
puk-	pluka
pul-	punli
pum-	purmo
pun-	pruni
pu'o-	purmo
pur-	purci
pus-	pu'i
put-	sputu
pu'u-	sputu
puv-	pu'u
ra'a-	srana
rab-	xrabo
rac-	ralci
rad-	randa
ra'e-	ralte
raf-	rafsi
rag-	rango
ra'i-	ranji
rai-	traji
raj-	sraji
rak-	sraku
ral-	ralju
ram-	ranmi
ran-	ranti
ra'o-	radno
rap-	rapli
rar-	rarna
ras-	grasu
rat-	ratni
rau-	gradu
ra'u-	raktu
rav-	ragve
rax-	ranxi
raz-	brazo
re'a-	remna
reb-	rebla
rec-	rectu
red-	bredi
re'e-	trene
ref-	krefu
rei-	preti
re'i-	renvi
rej-	vreji
rek-	greku
rel-	re
rem-	remna
ren-	trene
re'o-	renro
rep-	crepu
rer-	renro
res-	respa
ret-	preti
re'u-	rectu
rev-	renvi
ri'a-	rinka
rib-	cribe
ric-	tricu
rid-	crida
ri'e-	rirxe
rif-	ricfu
rig-	rigni
ri'i-	ritli
rij-	rijno
rik-	rinka
ril-	rilti
rim-	rimni
rin-	krinu
ri'o-	crino
rip-	cripu
rir-	rirni
ris-	rismi
rit-	brito
ri'u-	rinju
riv-	rivbi
rix-	trixe
ro'a-	prosa
rod-	broda
rog-	romge
roi-	roi
ro'i-	rokci
rok-	rokci
rol-	ro
rom-	roi
ron-	ropno
ro'o-	ropno
ror-	rorci
ros-	prosa
rot-	rotsu
ro'u-	rotsu
roz-	rozgu
ru'a-	sruma
rub-	ruble
ruc-	pruce
rud-	drudi
ru'e-	pruce
ruf-	rufsu
ru'i-	pruxi
ruj-	kruji
ruk-	rusko
rul-	xrula
rum-	runme
run-	rutni
ru'o-	rusko
rup-	rupnu
rur-	sruri
rus-	grusi
rut-	grute
ru'u-	rupnu
ruv-	kruvi
rux-	pruxi
sa'a-	sanga
sab-	sabji
sac-	stace
sad-	snada
sa'e-	satre
sag-	sanga
sa'i-	sanli
sai-	sanmi
saj-	sanji
sak-	sakci
sal-	sakli
sam-	skami
san-	spano
sa'o-	salpo
sap-	sampu
sar-	slari
sas-	srasu
sat-	sakta
sa'u-	sarcu
sau-	slabu
sav-	savru
sax-	sarxe
saz-	sazri
se'a-	setca
seb-	steba
sec-	senci
sed-	stedu
sef-	selfu
sei-	sepli
se'i-	sevzi
sel-	se
sen-	senpi
sep-	sepli
ser-	serti
set-	senta
se'u-	selfu
sev-	senva
sez-	sevzi
sfa-	sfasa
sfe-	sefta
sfo-	sfofa
sfu-	sufti
si'a-	sinma
sib-	sidbo
sic-	stici
sid-	stidi
si'e-	snime
sig-	sigja
si'i-	sicni
sij-	skiji
sik-	silka
sil-	siclu
sim-	simxu
sin-	tsina
si'o-	sidbo
sip-	sipna
sir-	sirji
sis-	sisku
sit-	sitna
si'u-	simxu
siv-	sivni
six-	sirxo
siz-	si'o
ska-	skari
ske-	saske
ski-	skicu
sko-	skori
sku-	cusku
sla-	salci
sle-	selci
sli-	slilu
slo-	solji
slu-	sluji
sma-	smaji
sme-	semto
smi-	simsa
smo-	smoka
smu-	smuni
sna-	sance
sne-	senva
sni-	sinxa
sno-	masno
snu-	casnu
so'a-	sovda
sob-	sobde
soc-	sorcu
sod-	sodva
so'e-	sobde
sof-	softo
sog-	sorgu
so'i-	so'i
soi-	sonci
soj-	so'a
sol-	solri
som-	sombo
son-	sonci
so'o-	sombo
sop-	so'e
sor-	so'i
sos-	so'o
sot-	so'u
sov-	sovda
soz-	so
spa-	spati
spe-	speni
spi-	spisa
spo-	daspo
spu-	spuda
sra-	sarji
sre-	srera
sri-	dasri
sro-	sorcu
sru-	sruri
sta-	stali
ste-	liste
sti-	sisti
sto-	stodi
stu-	stuzi
su'a-	stura
sub-	sfubu
suc-	sucta
sud-	sudga
su'e-	su'e
sug-	sunga
su'i-	sumti
suj-	sumji
suk-	suksa
sul-	sunla
sum-	sumti
sun-	stuna
su'o-	su'o
sup-	su'e
sur-	surla
sut-	sutra
su'u-	sfubu
suv-	su'u
suz-	su'o
ta'a-	tavla
tab-	tabno
tac-	tance
tad-	tadni
ta'e-	tanxe
taf-	taxfu
tag-	tagji
tai-	tarmi
ta'i-	tatpi
taj-	tamji
tak-	staku
tal-	talsa
tam-	tarmi
tan-	tsani
ta'o-	tanbo
tap-	stapa
tar-	tarci
tas-	tansi
tat-	tatru
tau-	tanru
ta'u-	taxfu
tav-	tavla
tax-	tanxe
taz-	ta
tca-	tcadu
tce-	mutce
tci-	tutci
tco-	ketco
tcu-	nitcu
te'a-	terpa
teb-	ctebi
tec-	steci
ted-	terdi
tef-	tenfa
teg-	tengu
te'i-	steci
tei-	temci
tek-	cteki
tel-	stela
tem-	temci
ten-	tcena
te'o-	stero
tep-	terpa
ter-	te
tet-	terto
te'u-	tengu
ti'a-	tcima
tib-	tinbe
tic-	tcica
tid-	tcidu
ti'e-	trixe
tif-	ti
tig-	tigni
ti'i-	stidi
tij-	tilju
tik-	stika
til-	tcila
tim-	tcima
tin-	tirna
ti'o-	ctino
tip-	tikpa
tir-	tirse
tis-	tisna
tit-	titla
ti'u-	tixnu
tiv-	tivni
tix-	tixnu
tiz-	stizu
to'a-	tonga
toc-	troci
tod-	toldi
to'e-	to'e
tog-	tonga
to'i-	torni
toi-	troci
tok-	toknu
tol-	to'e
ton-	torni
tor-	tordu
to'u-	tordu
tra-	tarti
tre-	mitre
tri-	trina
tro-	jitro
tru-	turni
tsa-	tsali
tse-	zutse
tsi-	tsiju
tsu-	rotsu
tu'a-	tumla
tub-	tunba
tu'e-	tuple
tuf-	tu
tug-	tugni
tu'i-	tugni
tuj-	tujli
tuk-	tunka
tul-	tunlo
tum-	tumla
tun-	tunta
tu'o-	tunlo
tup-	tuple
tur-	stura
tut-	tutra
tu'u-	tubnu
tuz-	stuzi
vab-	vanbi
vac-	vanci
vai-	vajni
va'i-	vamji
vaj-	vajni
val-	valsi
vam-	vamji
van-	vanju
var-	vacri
vas-	vasru
vat-	vamtu
vau-	vasru
va'u-	vasxu
vax-	vasxu
vaz-	va
ve'a-	verba
ve'e-	ve'e
vef-	venfu
vei-	vreji
vel-	ve
ven-	vecnu
ver-	verba
ves-	vensa
ve'u-	vecnu
vi'a-	viska
vib-	vibna
vic-	vimcu
vid-	vindu
vi'e-	vitke
vif-	vifne
vi'i-	vikmi
vij-	vinji
vik-	viknu
vil-	vlile
vim-	vikmi
vin-	jvinu
vi'o-	vitno
vip-	vipsi
vir-	vidru
vis-	viska
vit-	vitci
vi'u-	vimcu
viz-	vi
vla-	valsi
vle-	zivle
vli-	vlipa
vo'a-	voksa
voi-	vofli
vok-	voksa
vol-	vofli
von-	vo
vor-	vorme
vra-	vraga
vre-	vreta
vri-	virnu
vro-	vorme
vru-	savru
vud-	vrude
vu'e-	vrude
vu'i-	vrusi
vu'o-	vukro
vur-	vukro
vus-	vrusi
vuz-	vu
xa'a-	xatra
xab-	xadba
xac-	xarci
xad-	xadni
xa'e-	xance
xag-	xamgu
xa'i-	xarci
xai-	xrani
xaj-	xarju
xak-	xaksu
xal-	xalka
xam-	xajmi
xan-	xance
xa'o-	xampo
xap-	xampo
xar-	xanri
xas-	xamsi
xat-	xatsi
xa'u-	xabju
xau-	xamgu
xav-	xa
xaz-	xazdo
xe'a-	xedja
xeb-	xebro
xed-	xendo
xei-	xebni
xe'i-	xekri
xej-	xedja
xek-	xekri
xel-	xe
xen-	xebni
xe'o-	xendo
xer-	xenru
xes-	xelso
xet-	xecto
xe'u-	xenru
xex-	xexso
xi'a-	xirma
xil-	xislu
xim-	xinmo
xin-	xindo
xi'o-	xriso
xip-	xispo
xir-	xirma
xis-	xriso
xi'u-	xislu
xla-	xlali
xle-	naxle
xli-	nixli
xlu-	xlura
xoi-	xotli
xol-	xotli
xra-	pixra
xre-	mixre
xri-	maxri
xru-	xruti
xu'a-	xusra
xub-	xruba
xu'e-	xunre
xu'i-	xukmi
xuk-	xruki
xul-	xutla
xum-	xukmi
xun-	xunre
xu'o-	xurdo
xur-	xurdo
xus-	xusra
za'a-	zabna
zac-	zarci
zag-	zargu
zai-	zarci
za'i-	zasti
zaj-	zajba
zal-	zalvi
zan-	zabna
za'o-	za'o
zar-	zanru
zas-	zasni
zat-	zasti
zau-	zanru
za'u-	zargu
zaz-	za'i
zba-	zbasu
zbe-	zbepi
zbi-	nazbi
zda-	zdani
zdi-	zdile
zdo-	xazdo
ze'a-	zenba
ze'e-	ze'e
zei-	zekri
zel-	ze
zen-	zenba
ze'o-	ze'o
zep-	zepti
zer-	zekri
zet-	zetro
zev-	ze'o
zga-	zgana
zgi-	zgike
zgu-	rozgu
zi'e-	zifre
zif-	zifre
zi'i-	zinki
zil-	zi'o
zin-	zinki
zi'o-	dzipo
zip-	dzipo
zir-	zirpu
zi'u-	zirpu
ziv-	zivle
zma-	zmadu
zme-	guzme
zmi-	zmiku
zmu-	zumri
zo'a-	zo'a
zo'i-	zo'i
zon-	zo'a
zor-	zo'i
zu'e-	zukte
zug-	zungi
zu'i-	zunti
zuk-	zukte
zul-	zunle
zum-	zu'o
zun-	zunti
zut-	zutse
zva-	zvati
