a	cmavo   \nA      \nconector lógico entre sumti: o
ba'e	cmavo   \nBAhE      \nindicador de énfasis; indica que la siguiente palabra es especialmente enfatizada
bai	cmavo   \nBAI      \nbapli modal, 1er argumento (forzado por)              forzadamente; compelido por fuerza ...
ba'i	cmavo   \nBAI      \nbasti modal, 1er argumento                            reemplazado por ...
bajra	gismu   \n-baj-      \nx_1 corre sobre superficie x_2 usando miembros x_3 con paso x_4\nVer también {cadzu},  {klama},  {litru},  {stapa}.
bakfu	gismu   \n-baf-      \nx_1 es un paquete/bulto/montón de x_2, atado/sostenido por x_3
bakni	gismu   \n-bak-      \nx_1 es una vaca/toro/ganado/vacuno/buey de especie/raza x_2
bakri	gismu      \nx_1 es una cantidad de tiza/yeso/creta/marga de origen x_2 en forma x_3
baktu	gismu      \nx_1 es un balde/cubo/tarro/tonel/lata/tinaja/recipiente de boca ancha para contenido x_2, de material x_3\nVer también {botpi},  {patxu},  {tansi}.
balji	gismu      \nx_1 es un bulbo de planta/especie x_2\nVer también {punli}.
balni	gismu      \nx_1 es un balcón/cornisa/estante de edificio/estructura x_2\nVer también {kajna}.
balre	gismu   \n-ba'e-      \nx_1 es una hoja de herramienta/arma x_2\nVer también {dakfu}.
balvi	gismu   \n-bav-      \nx_1 está en el futuro/luego/más tarde/después/posterior en el tiempo a x_2\nVer también {purci},  {cabna},  {jersi}.
bancu	gismu   \n-bac-      \nx_1 excede/sobrepasa/está más allá de/pasando x_2 desde x_3 en propiedad/cantidad x_4\nVer también {dukse},  {ragve}.
bandu	gismu   \n-bad-      \nx_1 (evento) defiende/protege/ampara a x_2 de amenaza/peligro potencial x_3 (evento)
banfi	gismu      \nx_1 es un anfibio de especie/raza x_2
bangrfarsi	fu'ivla      \nx_1 es el lenguaje Persa usado por x_2 para expresar/comunicar x_3 (si'o/du'u, no cita).
bangrgogurio	obsolete fu'ivla      \nx_1 es el lenguaje coreano usado por x_2 para expresar/comunicar x_3 (si'o/du'u, no cita).
bangrnaidjiria	obsolete fu'ivla      \nx_1 es el lenguaje Inglés Nigeriano usado por x_2 para expresar/comunicar x_3 (si'o/du'u, no cita).\nVer {glibau} y {friko}
bangrtcosena	fu'ivla      \nx_1 es el lenguaje coreano de Corea del Norte usado por x_2 para expresar/comunicar x_3 (si'o/du'u, no cita).\nVer {bangrgogurio}, {bangrxanguke}.
bangrturkie	obsolete fu'ivla      \nx_1 es el lenguaje turco usado por  x_2 para expresar/comunicar x_3 (si'o/du'u, no cita).\nVer también {kulnrturkie}, {kulnrturko}, {tu'urki}.
bangrvietnama	obsolete fu'ivla      \nx_1 es el lenguaje vietnamita usado por x_2 para expresar/comunicar x_3 (si'o/du'u, no cita).\nVer también {xazdo}, {bangu}.
bangrxangu	fu'ivla      \nx_1 es el lenguaje coreano usado por x_2 para expresar/comunicar x_3 (si'o/du'u, no cita).\nVer también {bangu}, {bangrgogurio}, {gugdrgogurio}.
bangrxanguke	fu'ivla      \nx_1 es el lenguaje coreano de Corea del Sur usado por x_2 para expresar/comunicar x_3 (si'o/du'u, no cita).\nVer {bangrgogurio}, {bangrtcosena}
bangrxirana	fu'ivla      \nx_1 es el lenguaje persa (Irán) usado por x_2 para expresar/comunicar x_3 (si'o/du'u, no cita).
bangu	gismu   \n-ban-   \n-bau-      \nx_1 es un idioma/dialecto/lengua/lenguaje de gente/pueblo/hablante x_2 usado para comunicar x_3
banli	gismu   \n-bal-   \n-ba'i-      \nx_1 es grandioso en propiedad x_2 según estándar x_3\nVer también {barda},  {nobli},  se {sinma},  {pluja}.
banro	gismu   \n-ba'o-      \nx_1 crece/brota/se expande/se desarrolla a tamaño/forma x_2 desde x_3\nVer también {preja},  {farvi},  {zenba}.
banxa	gismu   \n-bax-      \nx_1 es un banco propiedad de/en sistema bancario x_2 con funciones x_3 (evento)]
banzu	gismu   \n-baz-      \nx_1 alcanza/basta/es suficiente para propósito x_2 bajo condiciones x_3\nVer también {sarcu},  {dukse},  {claxu},  {nitcu}.
ba'o	cmavo   \nZAhO      \naspecto verbal: habiendo concluído la acción; perfecto              |     |----
bapli	gismu   \n-bap-   \n-bai-      \nx_1 (evento) fuerza/obliga/compele a que x_2 ocurra\nVer también {jitro},  {rinka},  {krinu},  {zukte}.
bapu	cmavo-compound   \nPU*      \ntiempo verbal: habrá sido; (tiempo/modal)
barbei	lujvo      \nx_1 exporta x_2 a x_3 desde x_4 via x_5
barda	gismu   \n-bra-      \nx_1 es grande/amplio en propiedad/dimensión x_2 comparado con estándar/norma x_3\nVer también {cmalu}.
bargu	gismu   \n-bag-      \nx_1 es un arco/curva sobre x_2 hecho de material x_3
barja	gismu      \nx_1 es una taberna/bar en localidad x_2 que sirve x_3 a clientes x_4\nVer también {gusta}.
barkalri	lujvo      \nx_1 es una salida de x_2 para x_3\n{bartu}, {kalri}, {cliva}
barkla	lujvo      \nx_1 sale de x_2 por (ruta) x_3 en (medio de transporte) x_4
barku'e	lujvo      \nx_1 se proyecta fuera de x_2\nVer también {bartu}, {kuspe}
barna	gismu   \n-ba'a-      \nx_1 es una marca sobre x_2 de material x_3
bartu	gismu   \n-bar-      \nx_1 está afuera/exterior/externo/fuera de x_2\nVer también {nenri}.
basna	gismu      \nx_1 enfatiza/acentúa x_2 con acción/énfasis x_3
basti	gismu   \n-bas-      \nx_1 reemplaza/sustituye/toma el lugar de x_2 en circunstancia x_3
batci	gismu   \n-bat-      \nx_1 muerde/pellizca a x_2 en x_3 con x_4
batke	gismu      \nx_1 es un botón/perilla/manija/tirador en x_2, con propósito x_3, hecho de material x_4
bau	cmavo   \nBAI      \nbangu modal, 1er argumento                            en lenguaje ...
ba'u	cmavo   \nUI3      \ndiscursivo: exageración - exactitud - minimización\nVer también {satci},  {dukse}.
ba'ucu'i	cmavo-compound   \nUI*3      \ndiscursivo: exageración - exactitud - minimización
ba'unai	cmavo-compound   \nUI*3      \ndiscursivo: exageración - exactitud - minimización
bavmi	gismu      \nx_1 es una cantidad de cebada (grano) de especie/variedad x_2
baxso	gismu      \nx_1 refleja cultura/nacionalidad/idioma bahasa (malayo-indonesio) en aspecto x_2\nVer también {meljo},  {bindo}.
be	cmavo   \nBE      \nadhiere un sumti (por defecto x_2) a un selbri; usado en descripciones
be'a	cmavo   \nFAhA1      \nlocación/dirección; al norte de
bebna	gismu   \n-beb-      \nx_1 es tonto/bobo/idiota/estúpido sobre asunto x_2\nVer también {prije}.
be'e	cmavo   \nCOI      \nvocativo: pedido para enviar/hablar
bei	cmavo   \nBEI      \nsepara varios sumti acoplados a un selbri; usado en descripciones
be'i	cmavo   \nBAI      \nbenji modal, 1er argumento (enviador)                 enviado por ...
bemro	gismu   \n-bem-   \n-be'o-      \nx_1 refleja cultura/nacionalidad/geografía centro/norteamericana en aspecto x_2
bende	gismu   \n-bed-   \n-be'e-      \nx_1 es un equipo/escuadrón/banda/orquesta de personas x_2 dirigidos/conducidos por x_3 organizados con propósito x_4
bengo	gismu   \n-beg-      \nx_1 refleja cultura/nacionalidad/idioma bengalí en aspecto x_2
benji	gismu   \n-bej-   \n-be'i-      \nx_1 transfiere/manda/transmite/envía x_2 a receptor x_3 desde transmisor/origen x_4 por medio x_5\nVer también {mrilu}.
be'o	cmavo   \nBEhO      \nterminador elisible: fin de sumti acoplado en una descripción específica
bersa	gismu   \n-bes-   \n-be'a-      \nx_1 es hijo (varón) de madre/padre x_2 (no necesariamente biológico)\nVer también {panzi},  {tixnu}.
berti	gismu   \n-ber-      \nx_1 está al norte/septentrional de x_2 según marco de referencia x_3\nVer también {snanu},  {stuna},  {stici}.
besna	gismu   \n-ben-      \nx_1 es un cerebro/seso (parte del cuerpo) de x_2
betfu	gismu   \n-bef-   \n-be'u-      \nx_1 es un abdomen/panza/barriga/vientre (parte del cuerpo) de x_2\nVer también {canti}.
betri	gismu   \n-bet-      \nx_1 (evento) es una tragedia/desastre/trágico para x_2
be'u	cmavo   \nUI5      \nmodificador de actitudinal: carencia/necesidad - presencia/satisfacción - superabundancia/saciedad\nVer también {claxu},  {nitcu},  {mansa}.
be'ucu'i	cmavo-compound   \nUI*5      \nmodificador de actitudinal: carencia/necesidad - presencia/satisfacción - superabundancia/saciedad/hartazgo
be'unai	cmavo-compound   \nUI*5      \nmodificador de actitudinal: carencia/necesidad - presencia/satisfacción - superabundancia/saciedad/hartazgo
bevri	gismu   \n-bev-   \n-bei-      \nx_1 lleva/traslada/carga/transporta x_2 hasta x_3 desde x_4 por camino x_5
bi	cmavo   \n-biv-   \nPA1      \ndígito/número: 8 (dígito) (ocho)
bidju	gismu      \nx_1 es un abalorio/canica/bolita (forma) de material x_2
bidjylinsi	lujvo      \nx_1 es un rosario con cuentas de material x_2 y propiedades x_3
bi'e	cmavo   \nBIhE      \nprefijado a un operador matemático para indicar alta prioridad
bifce	gismu   \n-bic-      \nx_1 es una abeja/avispa de especie/raza x_2
bi'i	cmavo   \n-biz-   \nBIhI      \nconector de intervalos no lógico: no ordenado entre ... y ...
biki'o	cmavo-compound   \nPA*      \nnúmero/cantidad: 8,000
bikla	gismu   \n-bik-      \nx_1 es un látigo/latiguea (movimiento rápido y violento)
bilga	gismu   \n-big-      \nx_1 está obligado a/debe/tiene que ser/hacer x_2 (evento) según estándar/acuerdo/marco x_3\nVer también {zifre}.
bilma	gismu   \n-bi'a-      \nx_1 está enfermo con síntomas x_2 de enfermedad/mal x_3
bilni	gismu   \n-bil-      \nx_1 es militar/regimentado/organizado por sistema x_2 con propósito x_3
bimei	cmavo-compound   \nMOI*      \nselbri cuantificado: convierte 8 en selbri cardinal; x_1 es un octeto de x_2
bimoi	cmavo-compound   \nMOI*      \nselbri cuantificado: convierte 8 en selbri ordinal; x_1 es octavo entre x_2 ordenado según regla x_3
bindo	gismu   \n-bid-      \nx_1 refleja cultura/nacionalidad/idioma indonesio en aspecto x_2
bino	cmavo-compound   \nPA*      \nnúmero/cantidad: 80 (ochenta)
binono	cmavo-compound   \nPA*      \nnúmero/cantidad: 800 (ochocientos)
binonovo	cmavo-compound   \nPA*      \nnúmero/cantidad: 8004
binra	gismu      \nx_1 asegura/indemniza a x_2 contra eventualidad x_3 (evento) por monto x_4 con beneficios x_5
binxo	gismu   \n-bix-   \n-bi'o-      \nx_1 se hace/vuelve/convierte/transforma en x_2 bajo condiciones x_3\nVer también {cenba},  {galfi},  {stika},  {zasni}.
bi'o	cmavo   \nBIhI      \nconector de intervalos no lógico: ordenado de ... a ...
birje	gismu      \nx_1 es una cantidad de cerveza de origen x_2
birka	gismu   \n-bir-      \nx_1 es un brazo (parte del cuerpo) de x_2
birkoku	fu'ivla      \nx_1 es un albaricoque/damasco de especie/variedad x_2
birti	gismu   \n-bit-      \nx_1 está seguro/tiene la certeza/está convencido de que x_2 (du'u) es cierto
bisli	gismu   \n-bis-      \nx_1 es una cantidad de hielo de material/composición x_2
bisma'a	lujvo      \nx_1 es un iceberg/témpano de hielo en mar/océano x_2
bitmu	gismu   \n-bim-   \n-bi'u-      \nx_1 es una pared/muro/verja/valla que separa x_2 y x_3 en estructura x_4\nVer también {vorme},  {jbini},  {sepli}.
bi'u	cmavo   \nUI3a      \ndiscursivo: información nueva - información ya conocida\nVer también {nindatni},  {saurdatni}.
bi'unai	cmavo-compound   \nUI*3      \ndiscursivo: información nueva - información previa
blabi	gismu   \n-lab-      \nx_1 es blanco/muy claro (color)
blaci	gismu      \nx_1 es una cantidad de vidrio de composición x_2
blanu	gismu   \n-bla-      \nx_1 es azul (color)
bliku	gismu   \n-bli-      \nx_1 es un bloque/ladrillo de material x_2 con superficies/lados x_3
bloti	gismu   \n-lot-   \n-blo-   \n-lo'i-      \nx_1 es un bote/barco/embarcación/navío/nave (vehículo) para pasajeros/carga x_2, propelido/impulsado por x_3
bo	cmavo   \n-bor-   \nBO      \nacople de corto alcance; une varias construcciones con mínimo alcance y agrupamiento por derecha
bogjinme	lujvo      \nx_1 es una cantidad de calcio (Ca)\nVer también {bongu}, {jinme}, {bakri}
boi	cmavo   \nBOI      \nterminador elisible: termina cadena de números o letras
bolci	gismu   \n-bol-   \n-boi-      \nx_1 es una pelota/bola/esfera/globo (forma) de material x_2
bolgaro	fu'ivla      \nx_1 es búlgaro en el aspecto x_2\nVer también {slovo}, {nanslovo}.
bongu	gismu   \n-bog-   \n-bo'u-      \nx_1 es un hueso/marfil (parte del cuerpo) que realiza función x_2 en el cuerpo de x_3
botpi	gismu   \n-bot-   \n-bo'i-      \nx_1 es una botella/jarro/urna/recipiente tapable para contenido x_2, de material x_3, con tapa x_4\nVer también {baktu}.
boxfo	gismu   \n-bof-   \n-bo'o-      \nx_1 es una hoja/lámina/plancha (forma bidimensional flexible) de material x_2\nVer también {bukpu}.
boxna	gismu   \n-bon-   \n-bo'a-      \nx_1 es una onda/ola (forma periódica) en medio x_2, forma de onda x_3, longitud de onda x_4, frecuencia x_5
bradi	gismu      \nx_1 es un enemigo/oponente/contendiente/adversario/antagonista de x_2 en lucha x_3\nVer también {damba},  {jamna}.
bratu	gismu      \nx_1 es una cantidad de granizo/pedrisco/precipitación sólida de material/composición x_2
brazo	gismu   \n-raz-      \nx_1 refleja cultura/nacionalidad/idioma brasileño en aspecto x_2
bredi	gismu   \n-red-   \n-bre-      \nx_1 está listo/preparado/dispuesto para x_2 (evento)
bridi	gismu   \n-bri-      \nx_1 es un predicado con relación x_2 entre argumentos x_3
brife	gismu   \n-bif-   \n-bi'e-      \nx_1 es una brisa/viento/vendaval desde dirección x_2 con velocidad x_3
briju	gismu   \n-bij-      \nx_1 es una oficina/lugar de trabajo de x_2 en localidad x_3
brito	gismu   \n-rit-      \nx_1 refleja cultura/nacionalidad/idioma británico/del Reino Unido en aspecto x_2\nVer también {glico},  {skoto},  {merko}.
broda	gismu   \n-rod-      \n1er predicado variable asignable
brode	gismu   \n-bo'e-      \n2do predicado variable asignable
brodi	gismu      \n3er predicado variable asignable
brodo	gismu      \n4to predicado variable asignable
brodu	gismu      \n5to predicado variable asignable
bruna	gismu   \n-bun-   \n-bu'a-      \nx_1 es hermano (varón) de x_2 por lazo/relación x_3 (no necesariamente biológica)\nVer también {mensi},  {tunba},  {tamne}.
bu	cmavo   \n-bus-   \n-bu'i-   \nBU      \nconvierte una palabra cualquiera a BY
bu'a	cmavo   \n-bul-   \nGOhA      \npredicado variable cuantificado lógicamente: algún selbri  1
budjo	gismu   \n-buj-   \n-bu'o-      \nx_1 refleja cultura/religión/ética budista en aspecto x_2
bu'e	cmavo   \nGOhA      \npredicado variable cuantificado lógicamente: algún selbri  2
bu'i	cmavo   \nGOhA      \npredicado variable cuantificado lógicamente: algún selbri  3
bukpu	gismu   \n-buk-   \n-bu'u-      \nx_1 es una tela/paño/género/sábana (forma flexible bidimensional) de tipo/material x_2\nVer también {boxfo}.
bumgapci	lujvo      \nx_1 es bruma de composición x_2 cubriendo x_3\n{bumru} {gapci}
bumru	gismu   \n-bum-      \nx_1 es brumoso/cubierto de niebla/neblina/rocío/vapor de líquido x_2
bunda	gismu   \n-bud-      \nx_1 pesa x_2 unidades locales de peso (1 por defecto), estándar x_3, x_4 subunidades
bunre	gismu   \n-bur-   \n-bu'e-      \nx_1 es marrón/castaño/canela/pardo (color)
bu'o	cmavo   \nUI7      \ncontorno actitudinal: comienzo de emoción - continuidad de emoción - fin de emoción
bu'ocu'i	cmavo-compound   \nUI*7      \ncontorno actitudinal: comienzo de emoción - continúa emoción - fin de emoción
bu'onai	cmavo-compound   \nUI*7      \ncontorno actitudinal: comienzo de emoción - continúa emoción - fin de emoción
burcu	gismu   \n-bru-      \nx_1 es un cepillo/brocha con propósito x_2 con hebras x_3\nVer también {komcu}.
burna	gismu      \nx_1 se siente incómodo/embarazado/desconcertado/turbado por x_2 (evento)\nVer también {kufra}.
bu'u	cmavo   \nFAhA3      \nlocación/dirección; coincidente con/en el mismo lugar de; equivalente espacial de ca
by	cmavo   \nBY2      \nletra b
ca	cmavo   \nPU      \ndirección/relación de tiempo verbal: es (selbri); durante/simultaneo con (sumti); tiempo presente
ca'a	cmavo   \n-caz-   \nCAhA      \naspecto modal: realidad
caba'o	cmavo-compound   \nZAhO*      \ntiempo verbal: ha sido; (tiempo/modal)
cabna	gismu   \n-cab-      \nx_1 está en el presente/durante/simultáneo/al mismo tiempo que x_2\nVer también {balvi},  {purci},  {zvati}.
cabra	gismu   \n-ca'a-      \nx_1 es un aparato/mecanismo/artefacto/ingenio con función x_2 controlado por x_3\nVer también {tutci},  {minji}.
caca'a	cmavo-compound   \nPU*      \ntiempo verbal: realidad presente; aspecto modal
caca'o	cmavo-compound   \nZAhO*      \ntiempo verbal: está siendo; (tiempo/modal)
cacra	gismu      \nx_1 dura x_2 horas (1 por defecto) según estándar x_3
cadzu	gismu   \n-dzu-      \nx_1 anda/camina/pasea sobre superficie x_2 usando miembros x_3\nVer también {stapa},  {bajra},  {klama},  {litru}.
ca'e	cmavo   \nUI2      \nevidencial: definición\nVer también {mitcu'a},  {mitsmu}.
cafne	gismu   \n-caf-      \nx_1 (evento) ocurre frecuentemente/seguido/a menudo según estándar x_2\nVer también {rirci},  {fadni},  {kampu},  {rapli},  {krefu}.
cai	cmavo   \nCAI      \nactitudinal: gran intensidad
ca'i	cmavo   \nBAI      \ncatni modal, 1er argumento                            por autoridad de ...
cajeba	cmavo-compound   \nPU*      \ntiempo verbal: durante y después; (tiempo/modal)
cakla	gismu      \nx_1 es una cantidad de chocolate/cacao
calku	gismu   \n-cak-      \nx_1 es una concha/casco/casquete/caparazón/cubierta protectora alrededor de x_2 compuesta de x_3\nVer también {pilka},  {skapi}.
caltaicmaci	lujvo      \ncm_1 is una geometría que describe a cm_2=ca_1=t_1 objeto geometrico.\nHecho con {canlu}, {tarmi}, {cmaci}
ca ma	cmavo-compound   \nPU*      \npregunta por una hora/fecha/evento; simultaneo con ¿qué?
canci	gismu      \nx_1 desaparece/se desvanece de localidad x_2\nVer también {stali}.
cando	gismu   \n-cad-      \nx_1 está quieto/inactivo/en reposo/inmóvil/ocioso\nVer también {muvdu}.
cange	gismu   \n-cag-      \nx_1 es una granja/chacra/rancho/estancia en x_2, trabajada por x_3, con producción x_4\nVer también {purdi}.
canja	gismu   \n-caj-      \nx_1 canjea/intercambia x_2 por x_3 con x_4
canko	gismu   \n-ca'o-      \nx_1 es una ventana/apertura en pared/edificio/estructura x_2\nVer también {vorme}.
canlu	gismu   \n-cal-   \n-ca'u-      \nx_1 es espacio/volumen/lugar ocupado por x_2
canpa	gismu   \n-cna-      \nx_1 es una pala para cavar x_2
canre	gismu   \n-can-      \nx_1 es una cantidad de arena de origen x_2 de composición x_3
canti	gismu      \nx_1 son entrañas/intestinos/tripas/sistema digestivo (parte del cuerpo) de x_2
ca'o	cmavo   \nZAhO      \naspecto verbal: acción en curso; continuativo                                    |-----|
capu'o	cmavo-compound   \nZAhO*      \ntiempo verbal: está por ser; (tiempo/modal)
carce	gismu      \nx_1 es un carro/carroza/carruaje/carreta/vagón (vehículo con ruedas) para pasajeros/carga x_2, propelido/impulsado por x_3
carmi	gismu   \n-cam-   \n-cai-      \nx_1 es intenso/brillante/saturado en propiedad x_2 según observador x_3\nVer también {kandi},  {denmi}.
carna	gismu   \n-car-      \nx_1 gira/rota/da vueltas alrededor de eje x_2 en dirección x_3\nVer también {gunro}.
cartu	gismu   \n-cat-      \nx_1 es un mapa/diagrama/carta/plano de x_2, hecho por x_3, que muestra formación/datos x_4
carvi	gismu   \n-cav-      \nx_1 llueve/se precipita sobre x_2 desde x_3
casnu	gismu   \n-snu-      \nx_1 discuten/hablan/conversan/charlan/dialogan/platican acerca de x_2\nVer también {tavla}.
catke	gismu   \n-ca'e-      \nx_1 empuja a x_2 en parte x_3\nVer también {lacpu}.
catlu	gismu   \n-cta-      \nx_1 mira/examina/inspecciona/observa/vigila x_2
catni	gismu   \n-ca'i-      \nx_1 tiene autoridad/es un oficial en asunto/esfera x_2 con autoridad basada en x_3\nVer también {turni},  {tutra}.
catra	gismu      \nx_1 mata/asesina a x_2 por acción/método x_3
cau	cmavo   \nBAI      \nclaxu modal, 1er argumento                            carecido por ...
ca'u	cmavo   \nFAhA2      \nlocación/dirección; frente a
caxno	gismu   \n-cax-      \nx_1 es poco profundo/superficial en dirección x_2 desde punto de referencia x_3 según estándar x_4\nVer también {condi},  {tordu},  {jarki},  {cinla}.
ce	cmavo   \n-cec-   \nJOI      \nconector no lógico: enlace de conjunto, no ordenado; formando un conjunto
ce'a	cmavo   \nLAU      \ncambio de letra: sigue indicador de un nuevo tipo de letra (ej. itálica, manuscrita)
cecla	gismu   \n-cel-   \n-ce'a-      \nx_1 es un cañón/lanzador/pistola que dispara/lanza proyectil/misil x_2 propelido/impulsado por x_3\nVer también {renro},  {danti}.
cecmu	gismu   \n-cem-   \n-ce'u-      \nx_1 es una comunidad/colonia de organismos x_2
cedra	gismu      \nx_1 es una era/época/edad caracterizada por x_2\nVer también {temci},  {citsi}.
ce'e	cmavo   \nCEhE      \nacopla términos en un grupo
cei	cmavo   \nCEI      \nasignación de selbri variable; asigna pro-bridi de serie broda a un selbri
ce'i	cmavo   \n-cez-   \nPA3      \ndígito/número: \\% porcentaje, centésimos
cenba	gismu   \n-cne-      \nx_1 cambia/varía en propiedad x_2 en cantidad/grado x_3 bajo condiciones x_4\nVer también {jdika},  {cenba},  {binxo}.
censa	gismu   \n-ces-      \nx_1 es sagrado/sacro/santo para persona/gente/cultura/religión/culto x_2\nVer también {lijda}.
centi	gismu   \n-cen-      \nx_1 es un centésimo (1E-2) de x_2 en dimensión/aspecto x_3
ce'o	cmavo   \n-ce'o-   \nJOI      \nconector no lógico: enlace de secuencia ordenada; 
cerda	gismu   \n-ced-      \nx_1 hereda x_2 de x_3 según regla x_4
cerni	gismu   \n-cer-      \nx_1 es una mañana de día x_2 en localidad x_3\nVer también {vanci},  {murse}.
certu	gismu   \n-cre-      \nx_1 es un experto/profesional/sabe hacer x_2 (evento) según estándar x_3\nVer también {djuno},  {stati}.
ce'u	cmavo   \nKOhA8      \nindica la posición del poseedor de una propiedad
cevni	gismu   \n-cev-   \n-cei-      \nx_1 es un dios/ídolo/divinidad/deidad de gente/religión x_2 con dominio sobre esfera x_3
cfari	gismu   \n-cfa-      \nx_1 (evento) comienza/se inicia/empieza
cfika	gismu   \n-fik-   \n-fi'a-      \nx_1 es una obra de ficción sobre tema x_2 por autor x_3
cfila	gismu   \n-cfi-      \nx_1 es una falla/defecto en x_2 con efecto x_3
cfine	gismu      \nx_1 es una cuña (forma) de material x_2
cfipu	gismu   \n-fi'u-      \nx_1 (evento) confunde/desconcierta a x_2 por propiedad/aspecto x_3
ci	cmavo   \n-cib-      \ndígito/número: 3 (dígito) (tres)
cibjgacmaci	lujvo      \nc_1 es la trigonometría de j_1 triángulo. También, c_1 es trigonométrico.
ciblrmoru	fu'ivla      \nx_1 es una cantidad de mirra del árbol de la especie x_2.
ciblu	gismu   \n-blu-      \nx_1 es sangre/fluido vital de organismo x_2
cibnacmei	lujvo      \nx_1 es un vector tridimensional con coordenadas x_2, x_3 y x_4\nVer también {nacmei}, {relnacmei}
cicna	gismu      \nx_1 es cyan/turquesa/azul verdoso (color)
cidja	gismu   \n-dja-      \nx_1 es comida/alimento/nutrición/sustento/comestible/nutritivo para x_2
cidjrburito	fu'ivla      \nx_1 es un burrito (comida mexicana) con los ingredientes x_2.
cidjrpitsa	fu'ivla      \nx_1 es una pizza con los ingredientes x_2
