agmasto	fu'ivla      \nx_1 estas masto de ŝipo x_2\nRigardu ankaŭ {bloti}
banli	gismu   \n-bal-   \n-ba'i-      \nx_1 estas grandioza/bonega/majesta en eco x_2 (ka) laŭ normo x_3\nIndikas subjektivan grandecon, kompare kun la objektiva normo implica por barda; (sinonimoj, eble bezonantaj tanru:) eksterordinara, glora, impresa, inspira, speciala, eminenta, splenda, impona (ĉiuj ĝenerale zabna); terura (mabla).  Vidu ankaŭ {barda}, {nobli}, se {sinma}, {pluja}, {misno}, {vajni}, {fasnu}, {cizra}, {traji}, {mutce}, se {manci}.
banro	gismu   \n-ba'o-      \nx_1 kreskas/etendiĝas [pliiĝanta evoluo] en grandecon/formon x_2 disde x_3\nAnkaŭ: leviĝi, evolui; x_1 pligrandiĝas/pliiĝas.  Vidu ankaŭ {farvi}, {zenba}, {jmina}, {barda}, {makcu}, {ferti}.
banxa	gismu   \n-bax-      \nx_1 estas banko posedita de/en banka sistemo x_2 kun banka(j) funkcio(j) x_3 (okazo)\nVidu ankaŭ {sorcu}, {zarci}, {canja}, {kagni}.
banzu	gismu   \n-baz-      \nx_1 (objekto) sufiĉas por celo x_2 sub kondiĉoj x_3\nVidu ankaŭ {dukse}, {claxu}, {nitcu}, {ricfu}, {curmi}.
bapli	gismu   \n-bap-   \n-bai-      \nx_1 [forto] (ka) devigas ke okazo x_2 okazu; x_1 determinas ke eco x_2 evidentiĝu\nAnkaŭ: igi; implicas sukceson.  Vidu ankaŭ {fanta}, {rinju}, {jimte}, {jitro}, {rinka}, {krinu}, {zukte}, {randa}, {danre}, cmavo {bai}, {marxa}, {tinsa}, {xarnu}.
barda	gismu   \n-bra-      \nx_1 estas granda laŭ eco/dimensio(j) x_2 (ka) kompare kun normo x_3\nVidu ankaŭ {banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}.
bargu	gismu   \n-bag-      \nx_1 formas arkon/kurbon super/ĉirkaŭ x_2 el materialo x_3\nx_2 ne nepre estas objekto, sed povas esti punkto aŭ volumeno.  Vidu ankaŭ {cripu}, {kruvi}, {korcu}, {condi}.
barja	gismu      \nx_1 estas taverno/drinkejo prezentante x_2-on al klientaro x_3\nVidu ankaŭ {gusta}, {birje}, {jikru}, {sanmi}, {vanju}, {xotli}, {ckafi}, se {pinxe}.
barkla	lujvo      \nx_1 eliras x_2-on tra x_3 per x_4
barna	gismu   \n-ba'a-      \nx_1 estas marko(j)/makulo(j) sur x_2 el materialo x_3\nBa'armo'a por aranĝo de markoj.  Vidu ankaŭ {sinxa}, {pixra}, se {ciska}, se {prina}.
bartu	gismu   \n-bar-      \nx_1 estas ekster x_2\nVidu ankaŭ {jibni}, {nenri}, {sruri}, {lamji}, {korbi}, {calku}, {vasru}.
basna	gismu      \nx_1 emfazas/akcentas/substrekas/elstarigas x_2-on per (ago) x_3\nAnkaŭ: diri forte. Vidu ankaŭ {pandi}.
basti	gismu   \n-bas-      \nx_1 anstataŭas x_2-on en cirkonstanco x_3; x_1 estas anstataŭulo/anstataŭaĵo/surogato\nAnkaŭ: x_1 interŝanĝas lokojn kun x_2.  Vidu ankaŭ cmavo {ba'i}, {binra}.
batci	gismu   \n-bat-      \nx_1 mordas/pinĉas x_2-on je specifa loko x_3 per x_4\nTramordi (= {ka'arbatci}, {batygre}); pinĉi (= {cinzybatci}).  Vidu ankaŭ {denci}, {jgalu}, {guska}, {citka}.
batke	gismu      \nx_1 estas butono/tubero/[tenilo] sur objekto x_2, kun celo x_3, el materialo x_4\nVidu ankaŭ {jadni}, {balji}, {punji}, {jgari}, {lasna}.
bavmi	gismu      \nx_1 estas kvanto da hordeo [greno] de speco/raso x_2\nVidu ankaŭ {gurni}.
baxso	gismu      \nx_1 montras malaj-indonezian komunan lingvon/kulturon laŭ aspekto x_2\nVidu ankaŭ {meljo}, {bindo}.
bebna	gismu   \n-beb-      \nx_1 estas stulta/malsaĝa/malsprita en okazo/ago/eco [stultaĵo] (ka) x_2; x_1 estas stultulo\nVidu ankaŭ {fenki}, {xajmi}, {prije}, {fliba}.
bemro	gismu   \n-bem-   \n-be'o-      \nx_1 montras nordamerikan kulturon/naciecon/geografion laŭ aspekto x_2\nVidu ankaŭ {merko}, {kadno}, {xispo}, {mexno}.
bende	gismu   \n-bed-   \n-be'e-      \nx_1 estas bando/teamo/orkestro/aro da homoj x_2 kun ĉefo/direktoro/estro x_3 organizita por celo x_4\n(x_1 estas kolektivaĵo; x_2 estas aro komplete specifita); Ankaŭ: orkestro (= {zgibe'e}, {balzgibe'e}); x_3 direktisto; komerco, ne nepre korporaciigita (=cajbe'e, venbe'e).  Vidu ankaŭ {gunma}, {girzu}, {dansu}, {jatna}, {jitro}, {kagni}, {kamni}, {minde}, {ralju}, {cecmu}, {gidva}.
bengo	gismu   \n-beg-      \nx_1 montras bengalan/bangladeŝan kulturon/naciecon/lingvon laŭ aspekto x_2\nVidu ankaŭ {xindo}.
benji	gismu   \n-bej-   \n-be'i-      \nx_1 sendas/transigas/transdonas/transmetas x_2-on al ricevanto x_3 el origino/deveno x_4 pere de x_5\nAliproprigado el deveno ne estas implicita.  x_5 portilo.  Vidu ankaŭ {muvdu}, {dunda}, {mrilu}, {nirna}, {xruti}, {cradi}, {tivni}, {preja}, {cmavobe'i}, {bevri}, {mrilu}, {tcana}.
bersa	gismu   \n-bes-   \n-be'a-      \nx_1 estas filo de patro/patrino/gepatroj x_2 [ne nepre biologiaj]\nVidu ankaŭ {verba}, {nanla}, {nakni}, {nanmu}, {patfu}, {mamta}, {bruna}, {rirni}, {rorci}, {panzi}, {tixnu}.
berti	gismu   \n-ber-      \nx_1 estas norde de [poluso laŭ dekstramana regulo] x_2 laŭ referenckadro x_3\nVidu ankaŭ {snanu}, {stici}, {stuna}, {farna}.
besna	gismu   \n-ben-      \nx_1 estas (la) cerbo [korpoparto] de x_2; [metafore: inteligento, mensa kontrolo]\nVidu ankaŭ {menli}, {stedu}, {rango}, {pensi}.
betfu	gismu   \n-bef-   \n-be'u-      \nx_1 estas (la) abdomeno/ventro [korpoparto] de x_2; [metafore: meza parto]\nAnkaŭ: stomako (= {djaruntyrango}), digesta aparato (= {befctirango}, {befctirangyci'e}).  Vidu ankaŭ {cutne}, {livga}, {canti}.
betri	gismu   \n-bet-      \nx_1 estas tragedia/katastrofa/ruiniga por x_2\nVidu ankaŭ {badri}, {xlali}, {morsi}, {binra}.
bevri	gismu   \n-bev-   \n-bei-      \nx_1 portas/trenas/transportas ŝarĝon/kargon x_2 al x_3 de x_4 tra vojo x_5; x_1 estas portisto\nAliproprigo el x_2 al x_3 estas implicita.  Vidu ankaŭ {marce}, {muvdu}, {benji}, {klama}.
bi	cmavo   \n-biv-      \ncifero/nombro: 8 (cifero)
bidju	gismu      \nx_1 estas bido/globeto [formo] el materialo x_2\nVidu ankaŭ {bolci}, {canre}, {lakse}, {dirgo}.
bifce	gismu   \n-bic-      \nx_1 estas abelo/vespo/krabro de speco/raso x_2\nVidu ankaŭ {cinki}, {sfani}, {lakse}.
bi'i	cmavo   \n-biz-      \nnelogika intervala kunigilo: nevice inter ... kaj ... (rafsi reprezentas ian ajn intervalon)
bikla	gismu   \n-bik-      \nx_1 agas kiel vipo/faras klakon/krakon [subita fortega movo]\nVidu ankaŭ {skori}, {darxi}.
bilga	gismu   \n-big-      \nx_1 devas esti/fari x_2-on laŭ normo/akordo x_3\nAnkaŭ: x_3 referenckadro.  Vidu ankaŭ {zifre}, {fuzme}.
bilma	gismu   \n-bi'a-      \nx_1 estas malsana kun simptomoj x_2 pro malsano x_3\nVidu ankaŭ {kanro}, {mikce}, {spita}, {senci}, {kafke}, {binra}.
bilni	gismu   \n-bil-      \nx_1 estas militeca/regimenta/forte organizita/preparita de sistemo x_2 por celo x_3\nAnkaŭ: paramilita; soldato en laa plej vasta senco - ne limigita al tiuj preparitaj/organizitaj kiel parto de armeo por defendi ŝtaton (= {bilpre}).  Vidu ankaŭ jenmi por milita {forto}, {sonci}, {ganzu}, {pulji}.
bindo	gismu   \n-bid-      \nx_1 montras indonezian kulturon/naciecon/lingvon laŭ aspekto x_2\nVidu ankaŭ {bindo}, {meljo}, {baxso}.
binra	gismu      \nx_1 asekuras/garantias/kompensas homon x_2 kontraŭ danĝero x_3 (okazo) provizante x_4-on (okazo)\nAnkaŭ: x_3 perdo; vendi/aĉeti asekuron (= {binryve'u}), premiumo (= binrydi'a, aŭ binryvelve'u).  Vidu ankaŭ {bandu}, {cirko}, {betri}, {basti}, {bilma}.
binxo	gismu   \n-bix-   \n-bi'o-      \nx_1 iĝas/fariĝas/transformiĝas en x_2-on sub kondiĉoj x_3\nRezulta, ne nepre kaŭza ŝanĝiĝo.  (kp. cenba por nerezulta, galfi por kaŭza, stika por nerezulta, nekaŭza ŝanĝiĝo; zasni)
birje	gismu      \nx_1 konsistas el/enhavas/estas kvanto da biero/elo farita el x_2\nVidu ankaŭ {pinxe}, {barja}, {jikru}, {vanju}, {xalka}, {fusra}.
birka	gismu   \n-bir-      \nx_1 estas brako [korpoparto] de x_2; [metafore: branĉo kun forto]\nAnkaŭ: kubuto (= {bircidni}), pojno (= {xanterjo'e}), alpendaĵo (sed jimca, rebla preferindaj).  Vidu ankaŭ {jimca}, {janco}, {xance}, {rebla}.
birti	gismu   \n-bit-      \nx_1 estas certa/senduba/konvinkita ke x_2 veras\nVidu ankaŭ {jetnu}, {jinvi}, {krici}, {djuno}, {senpi}, {sruma}.
bisli	gismu   \n-bis-      \nx_1 estas kvanto da/enhavas/konsistas el glacio [frostigita kristalo] de konsisto/materialo x_2\nKonsisto inkluzivanta x_2-on, kiu ne nepre estas kompleta konsisto.  Vidu ankaŭ {kunra}, {runme}, {lenku}, {krili}, {bratu}, {snime}, {carvi}.
bitmu	gismu   \n-bim-   \n-bi'u-      \nx_1 estas muro/barilo apartiganta x_2-on kaj x_3-on (neordigitaj) de/en strukturo x_4\nVidu ankaŭ {jbini}, {sepli}, {fendi}, {canko}, {drudi}, {kumfa}, {loldi}, {senta}, {snuji}, {pagre}, {gacri}, {kuspe}, {marbi}, {vorme}.
blabi	gismu   \n-lab-      \nx_1 estas blanka/tre hela [koloradjektivo]\nPalaj formoj de aliaj koloroj estas kunmetaĵoj kun blanka; ekz. rozkolora (= {labyxu'e}, {xunblabi}) (dum kandi uziĝas por pala = malbrila, manko de intenso).  Vidu ankaŭ {skari}, {xekri}, {grusi}, {kandi}, {manku}, {carmi}, {bakri}, {blanu}, {bunre}, {cicna}, {crino}, {narju}, {nukni}, {pelxu}, {xunre}, {zirpu}.
blaci	gismu      \nx_1 estas kvanto da/enhavas/konsistas el vitro de konsisto enhavanta x_2-on\nVidu ankaŭ {kabri}.
blanu	gismu   \n-bla-      \nx_1 estas blua [koloradjektivo]\nVidu ankaŭ {skari}, {blabi}, {xekri}, {zirpu}, {kandi}, {carmi}, {cicna}.
bliku	gismu   \n-bli-      \nx_1 estas bloko [3-dimensia formo] el materialo x_2, surfacoj/flankoj/lateroj x_3\nx_3 (edroj/lateroj/facoj/surfacoj) inkluzivu nombron, grandon, kaj formon; ankaŭ multedro (= pitybli kun plataj/ebenaj lateroj/surfacoj).  regula multedro (= {kubybli}, {blikubli}), briko (= {kitybli}); Vidu ankaŭ {tapla}, {kubli}, {tanbo}, {canlu}, {kojna}, {sefta}, {bolci}, {kurfa}, {tarmi}.
bloti	gismu   \n-lot-   \n-blo-   \n-lo'i-      \nx_1 estas boato/ŝipo [veturilo] por porti x_2-on, pelita de x_3\nVidu ankaŭ {falnu}, {fulta}, {marce}, {jatna}, {sabnu}.
bo	cmavo   \n-bor-      \nmallongampleksa ligilo; ligas plurajn konstruojn kun plej mallonga amplekso kaj dekstra grupigo
bolci	gismu   \n-bol-   \n-boi-      \nx_1 estas pilko/sfero/globo [formo] el materialo x_2; x_1 estas spherical objekto [farita el x_2]\nAnkaŭ: ronda.  Vidu ankaŭ {bliku}, {cukla}, {bidju}, {gunro}.
bongu	gismu   \n-bog-   \n-bo'u-      \nx_1 estas osto/eburo [korpoparto], plenumanta funkcion x_2 en korpo x_3; [metafore: kalcio]\nx_2 verŝajne estas abstraktaĵo: ĝi povas esti strukturo/subteno por iu korpoparto, sed ankaŭ aliaj kiel la timpano; la unua povas esprimiĝi kiel (tu'a le&lt;korpoparto&gt;); kartilago (= {ranbo'u}), skeleto (= {bogygreku}).  Vidu ankaŭ {greku}, {denci}, {jirna}, {sarji}.
botpi	gismu   \n-bot-   \n-bo'i-      \nx_1 estas botelo/poto/urno/flakono/fermebla ujo por x_2, el materialo x_3 kun kovrilo x_4\nVidu ankaŭ {baktu}, {lante}, {patxu}, {tansi}, {tanxe}, {vasru}, {gacri}.
boxfo	gismu   \n-bof-   \n-bo'o-      \nx_1 estas folio/tuko/litkovrilo/tapiŝo [2-dimensia formo fleksebla en 3 d.] el materialo x_2\nVidu ankaŭ {plita}, {cinje}, {polje}, {slasi}, {tinci}.
boxna	gismu   \n-bon-   \n-bo'a-      \nx_1 estas ondo [perioda formo] en medio x_2, formo x_3, ondolongo x_4, frekvenco x_5\nVidu ankaŭ {slilu}, {dikni}, {cinje}, {polje}, {morna}, {canre}.
bradi	gismu      \nx_1 estas malamiko/oponanto/kontraŭulo de x_2 en barakto x_3\nVidu ankaŭ {damba}, {jamna}, {darlu}, {pendo}, {fapro}, {gunta}, {sarji}, {jivna}, {jinga}.
bratu	gismu      \nx_1 estas hajlo/neĝpluvo/solida precipitaĵo de materialo/konsisto enhavanta x_2-on\nĉi tio estas la substanco, ne la ago aŭ maniero de ĝia falo, kiu estas carvi.  Vidu ankaŭ {carvi}, {snime}, {bisli}, {tcima}.
brazo	gismu   \n-raz-      \nx_1 montras brazilan kulturon/naciecon/lingvon laŭ aspekto x_2\nVidu ankaŭ {porto}, {ketco}.
bredi	gismu   \n-red-   \n-bre-      \nx_1 estas preta por x_2 (okazo)\nVidu ankaŭ {spaji}, {jukpa}.
bridi	gismu   \n-bri-      \nx_1 (du'u) estas predikato kun rilato x_2 inter argumentoj (sinsekvo/aro) x_3\nAnkaŭ: x_3 estas rilataj per rilato x_2 (= terbri por reordigitaj lokoj).  (x_3 estas aro komplete specifita); Vidu ankaŭ {sumti}, {fancu}.
brife	gismu   \n-bif-   \n-bi'e-      \nx_1 estas brizo/zefiro/vento el direkto x_2 kun rapido x_3; x_1 blovas el x_2\nVidu ankaŭ {tcima}.
briju	gismu   \n-bij-      \nx_1 estas oficejo/laborejo de laboristo x_2 en loko x_3\nVidu ankaŭ {jibri}, {gunka}.
bripre	lujvo      \nx_1 estas persono, kies korpo esprimas predikatojn kun rilato inter argumentoj.\n{bridi} {prenu}
brito	gismu   \n-rit-      \nx_1 montras britan kulturon/naciecon laŭ aspekto x_2\nVidu ankaŭ {glico}, {skoto}, {merko}, {ropno}.
broda	gismu   \n-rod-      \n1a asignebla predikata varianto (kunteksto determinas la argumentostrukturon)\nVidu ankaŭ cmavo {bu'a}.
brode	gismu   \n-bo'e-      \n2a asignebla predikata varianto (kunteksto determinas la argumentostrukturon)
brodi	gismu      \n3a asignebla predikata varianto (kunteksto determinas la argumentostrukturon)
brodo	gismu      \n4a asignebla predikata varianto (kunteksto determinas la argumentostrukturon)
brodu	gismu      \n5a asignebla predikata varianto (kunteksto determinas la argumentostrukturon)
bruna	gismu   \n-bun-   \n-bu'a-      \nx_1 estas frato de x_2 laŭ ligilo/normo/gepatro(j) x_3; [ne nepre biologiaj]\nVidu ankaŭ {mensi}, {tunba}, {tamne}, {famti}, {bersa}.
bu	cmavo   \n-bus-   \n-bu'i-      \nŝanĝas iun ajn unuopan vorton al BY\n(kp. cmavo selma'o BY)
bu'a	cmavo   \n-bul-      \nlogike kvantigebla predikata varianto: iu selbri 1\n(kp. broda, ktp.)
budjo	gismu   \n-buj-   \n-bu'o-      \nx_1 apartenas al la budhisma kulturo/religio/etoso laŭ aspekto x_2\nVidu ankaŭ {latna}, {lijda}.
bukpu	gismu   \n-buk-   \n-bu'u-      \nx_1 estas kvanto da tolo/ŝtofo/teksaĵo de tipo/materialo x_2\nVidu ankaŭ {mapni}, {matli}, {sunla}, {slasi}, {silka}.
bumgapci	lujvo      \nx_1 estas nebulo el x_2 kovranta x_3-on\n{bumru} {gapci}
bumru	gismu   \n-bum-      \nx_1 estas nebula/kovrita de vaporo de likvo x_2\nVidu ankaŭ {djacu}, {carvi}, {danmo}, {lunsa}, {tcima}, {gapci}.
bunda	gismu   \n-bud-      \nx_1 estas x_2 (defaŭlte 1) lokaj unuoj de pezo [ne-metra], normo x_3, subunuoj [ekz. uncoj] x_4\n(pliajn subunuajn lokojn oni povas aldoni kiel x_5, x_6, ...); Vidu ankaŭ {grake}, {junta}, {tilju}, {rupnu}, {fepni}, {dekpu}, {gutci}, {minli}, {merli}, {kramu}.
bunre	gismu   \n-bur-   \n-bu'e-      \nx_1 estas bruna/tankolora [koloradjektivo]\nVidu ankaŭ {skari}, {blabi}, {xekri}, {kandi}, {carmi}.
burcu	gismu   \n-bru-      \nx_1 estas broso/peniko por celo x_2 (okazo) kun haroj/fadenoj x_3\nVidu ankaŭ {komcu}, {pinsi}.
burna	gismu      \nx_1 estas embarasita/agitita/ĝenata/malkomforta pri/sub kondiĉoj x_2 (abstraktaĵo)\nVidu ankaŭ {cinmo}.
ca	cmavo   \nPU      \nTempa rilato/direko: estas [selbri]; dum/samtempe kun [sumti]. Nuno.
ca'a	cmavo   \n-caz-      \nmodala aspekto: efektiva okazo\nVidu ankaŭ {cabna}, cmavo {ca}.
cabna	gismu   \n-cab-      \nx_1 estas nuna je/dum/samtempa kun x_2\n(defaŭlte x_2 estas la nuno, rezultante en:) x_1 okazas nun; nur tempa rilato, samtempeco ne signifas ke unu okazo ne etendiĝas en la pasintecon aŭ ontecon de la alia. Vidu ankaŭ {zvati}, {balvi}, {purci}, cmavo {ca}, cmavo {ca'a}.
cabra	gismu   \n-ca'a-      \nx_1 estas aparato/mehhanismo/ekipaĵo por funkcio x_2 kontrolata/[lanĉita] de x_3 (aganto)\nFormon determinas funkcio; ne implicas aŭtomatan agon - bezonas eksteran aganton/lanĉanton (minji povas esti zmiku cabra se ĝi bezonas eksteran aganton por lanĉi aŭ regi la funkciojn kiujn ĝi plenumas aŭtomate).  (kp. tutci, minji, finti; girzu, ganzu por organiza aparato, pilno)
cacra	gismu      \nx_1 daŭras x_2 horojn (defaŭlte 1 horo) laŭ normo x_3\nVidu ankaŭ {junla}, {mentu}, {snidu}, {tcika}, {temci}.
cadzu	gismu   \n-dzu-      \nx_1 piediras/marŝas/paŝas sur supraĵo x_2 per membroj x_3\nVidu ankaŭ {stapa}, {bajra}, {klama}, {litru}.
cafne	gismu   \n-caf-      \nx_1 (okazo) ofte/kutime okazas/reokazas/ripetiĝas laŭ normo x_2\n(kp. rirci, fadni, kampu, rapli, krefu, lakne, cmavon piso'iroi kaj similajn kunmetaĵojn)
cakla	gismu      \nx_1 estas kvanto da/enhavas/konsistas el ĉokolado/kakao\nVidu ankaŭ {ckafi}.
calku	gismu   \n-cak-      \nx_1 estas ŝelo [malmola, protekta kovrilo] ĉirkaŭ x_2 farita el x_3\nVidu ankaŭ {pilka}, {skapi}, {gacri}, {bartu}.
canci	gismu      \nx_1 malaperas el loko x_2; x_1 ne plu estas observata je x_2 per sensoj x_3\nAnkaŭ: foriri (unu senco).  Vidu ankaŭ {cliva}, {ganse}, {zgana}, {lebna}, {vimcu}.
cando	gismu   \n-cad-      \nx_1 estas kvieta/senmova/neokupata/nefunkcianta/neaktiva/ripozanta\nVidu ankaŭ {surla}.
cange	gismu   \n-cag-      \nx_1 estas bieno ĉe x_2, kulturata de x_3, fleganta/produktanta x_4-on; (adjektivo:) x_1 estas agra\nAgrokulturado, ne limigita al plantaj kultivoj.  Vidu ankaŭ {purdi}, {nurma}, {ferti}, {foldi}, {xarju}.
canja	gismu   \n-caj-      \nx_1 interŝangas varon x_2 kontraŭ x_3 kun x_4; x_1, x_4 estas komercisto/negocisto\nAnkaŭ: (adjektive:) x_1, x_2, x_4 estas komercaj (pli bone esprimebla per ka canja, kamcanja).  x_2/x_3 povas esti specifa objekto, varo (amaso), okazo (eble servo) aŭ kvalito; pedante, pri objektoj/varoj, tio estas sumti-levado el posedo de la objekto/varo (= posycanja por neambigua {semantiko}); (kp. dunda, friti, vecnu, zarci, jdini, pleji, jdima, jerna, kargu; vidu noton ĉe jdima pri distingo inter kosto/prezo/valoro, banxa, cirko, dunda, janta, kargu, prali, sfasa, zivle)
canko	gismu   \n-ca'o-      \nx_1 estas fenestro/portalo/malfermaĵo en muro/konstruaĵo/strukturo x_2\nVidu ankaŭ {vorme}, {bitmu}, {ganlo}, {murta}, {pagre}, {kevna}, {jvinu}, {kalri}, {kuspe}.
canlu	gismu   \n-cal-   \n-ca'u-      \nx_1 estas spaco/volumeno/regiono [almenaŭ-3-dimensia etendaĵo] okupita de x_2\nAnkaŭ: okupi (= {selca'u}). Vidu ankaŭ {kensa}, {bliku}, {kumfa}, {kevna}, {kunti}, {tubnu}, {dekpu}.
canpa	gismu   \n-cna-      \nx_1 estas ŝovelilo/fosilo/ŝpato/plugilo [klinga fosa ilo] por fosi x_2-on\nVidu ankaŭ {kakpa}, {guska}, {tutci}.
canre	gismu   \n-can-      \nx_1 estas kvanto da/enhavas/konsistas el sablo el fonto x_2 de konsisto enhavanta x_3-on\nVidu ankaŭ {bidju}, {rokci}, {zalvi}, {boxna}.
canti	gismu      \nx_1 estas (la) intesto/internaĵoj/digesta sistemo [korpoparto] de x_2\nMetafore: proceda nodo.  Vidu ankaŭ {betfu}.
carce	gismu      \nx_1 estas ĉaro/kaleŝo/vagono [rada veturilo] por porti x_2-on, pelita de x_3\nVidu ankaŭ {karce}, {xislu}, {marce}, {matra}.
carmi	gismu   \n-cam-   \n-cai-      \nx_1 estas intensa/brila/saturita en eco (ka) x_2 laŭ ricevo/mezuro de observanto x_3\nBrila (gusycai aŭ camgu'i); en koloroj, pliigita saturado (malo: kandi).  Vidu ankaŭ {denmi}, {gusni}, {kandi}, {ruble}, {skari}, {tilju}, {tsali}, {mutce}, {blabi}, {blanu}, {bunre}, {cicna}, {crino}, {grusi}, {narju}, {nukni}, {pelxu}, {xekri}, {xunre}, {zirpu}.
carna	gismu   \n-car-      \nx_1 turniĝas/rotacias/ruliĝas/volviĝas ĉirkaŭ akso x_2 laŭ direkto x_3\nAnkaŭ: rivolui (= {jincarna}).  Vidu ankaŭ {gunro}, {jendu}.
cartu	gismu   \n-cat-      \nx_1 estas mapo/karto/diagramo de/pri x_2 montrante aranĝon/informojn x_3\nVidu ankaŭ {platu}.
carvi	gismu   \n-cav-      \nx_1 pluvas/verŝiĝas/[precipitiĝas] al x_2 el x_3; x_1 estas precipitato [ne limigita al 'pluvo']\nVidu ankaŭ {bratu}, {dilnu}, {santa}, {snime}, {tcima}, {bisli}, {bumru}.
casnu	gismu   \n-snu-      \nx_1 (kutime kolektivaĵo, sed individuo/jo'u eblaj) diskutas/parolas pri temo x_2\nAnkaŭ: babili, konversacii.  Vidu ankaŭ {bacru}, {cusku}, {darlu}, {tavla}.
catke	gismu   \n-ca'e-      \nx_1 [aganto] shovas/puŝas x_2-on je loko x_3\nMovi per puŝo/ŝovo (= {ca'ermuvgau}).  Vidu ankaŭ danre por neagenta {forto}, {lacpu}.
catlu	gismu   \n-cta-      \nx_1 rigardas/ekzamenas/inspektas x_2-on\nAnkaŭ: trarigardi (= {grecta}, {ravycta}, {bacycta}).  Vidu ankaŭ {jvinu}, {minra}, {simlu}, {viska}, {lanli}, {zgana}, {setca}, {viska}.
catni	gismu   \n-ca'i-      \nx_1 havas aŭtoritaton/estas oficialulo super afero/sfero/homoj x_2 bazitan sur x_3\nVidu ankaŭ {turni}, {tutra}, {krati}, cmavo {ca'i}, {jaspu}, {pulji}.
catra	gismu      \nx_1 (aganto) mortigas/buĉas/murdas x_2-on per ago/metodo x_3\nVidu ankaŭ {morsi}, {xarci}.
